oid,tag,tag_detailed,Comments
695211400034403,artefact,bright star,
695211400124577,artefact,bright star,
695211400102351,artefact,bright star,
695211400053697,artefact,bright star,
695211200075348,transient,,"MASTER transient, red star; has spectra but still not clear what it is"
695211400000352,artefact,bright star,
695211400088968,artefact,,empty field fits
695211400117334,artefact,bright star,
695211400028274,artefact,bright star,
695211400133827,artefact,,empty field fits
695211400053352,Cl*,,"Part of the Cl*, does not explain variability directly"
695211400048384,HII region,,HII (ionized) region
695211100022045,transient,PNV,AT 2017ixs; Atel11755; seen in 2017-10-29
695211200009221,artefact,bad column,
695211200020939,artefact,bad column,
695211100002984,artefact,plane/flying body,
695211200058391,uncat,,Variable; red star; in Gaia list
695211400132963,artefact,M31 center,
695211400121607,Var,,[JPN2003] V206
695211400130264,artefact,M31 center,
695211200035023,uncat,,Variable; red star; IrS; in Gaia list
695211400009049,uncat,,Variable; red star; in Gaia list
695211400134262,artefact,M31 center,
695211400070144,Var,,
695211100003383,RSG,,
695211400134258,artefact,M31 center,M31 center
695211400134417,artefact,M31 center,M31 center
695211300004359,Nova,,Atel7462 - burst in 2015
695211400134778,artefact,M31 center,M31 center
695211400134621,artefact,M31 center,M31 center
695211200008801,artefact,bad column,bad column
695211200015230,artefact,bad column,bad column
695211200008024,artefact,bad column,bad column
695211200009492,artefact,bad column,bad column
695211200032218,artefact,bad column,bad column
695211400046832,uncat,red star,Variable; red star
695211400128515,artefact,,delta ~ 2 mag; bright star nearby; empty field fits; object in PS
695211400027347,Var,,"2MASS J00434749+4112585; however, it's position is not exactly corresponds oid"
695211400123032,artefact,bright star,bright star
695211400128356,artefact,,empty field fits; near M31 center
695211400101443,artefact,,empty field fits
695211400134257,artefact,,empty field fits; nearby Nova event M31N 1926-07c
695211400133656,artefact,,empty field fits; near M31 center
695211400134643,artefact,,empty field fits; near M31 center
695211400134038,artefact,M31 center,M31 center
695211400133905,artefact,M31 center,M31 center
695211400133964,artefact,,empty field fits; near M31 center
695211400134208,artefact,,empty field fits; near M31 center
695211400133292,artefact,,empty field fits; near M31 center
695211400132782,artefact,,empty field fits; near M31 center
695211200009296,artefact,bad column,bad column
695211200013685,artefact,bad column,bad column
695211200020898,artefact,bad column,bad column
695211200054816,artefact,bad column,bad column
695211200042829,artefact,bad column,bad column
695211200007026,artefact,bad column,bad column
695211200077003,artefact,bad column,bad column
695211200021087,artefact,bad column,bad column
695211200046528,Cepheid,,
695211200018901,RSG,,
695211200022958,uncat,single,Periodic; not red; in Gaia list
695211400134715,artefact,M31 center,M31 center
695211200023594,artefact,bad column,bad column
695211200015592,artefact,bad column,bad column
695211200010890,artefact,bad column,bad column
695211200018443,artefact,bad column,bad column
695211200019653,uncat,single,Periodic; short period 8 days; X-ray source nearby; Ceph Pop II???
695211100020379,artefact,plane/flying body,plane/flying body
695211100127578,uncat,1-point transient,1-point transient (1 mag brighter); two (binary?) blue stars. Re-do photometry
695211100096377,uncat,1-point transient,1-point transient (1 mag brighter); two (binary?) stars. Orbiting? Re-do photometry
695211100005490,artefact,plane/flying body,plane/flying body
695211200000865,uncat,1-point transient,"1-point transient (1 mag brighter). Periodicity at ""flat"" part. Re-do photometry"
695211100008614,artefact,plane/flying body,plane/flying body
695211100011888,artefact,plane/flying body,plane/flying body
695211100003209,artefact,plane/flying body,plane/flying body
695211100002099,artefact,plane/flying body,plane/flying body
695211300006331,EB,,CRTS J003827.1+410334
695211400018326,uncat,1-point transient,"1-point transient (1 mag brighter). Periodicity at ""flat"" part. Re-do photometry"
695211100020857,artefact,plane/flying body,plane/flying body
695211100025106,artefact,plane/flying body,plane/flying body
695211100021872,artefact,plane/flying body,plane/flying body
695211300006502,Star,,
695211200082131,uncat,1-point transient,"1-point transient (2.5 mag brighter). I checked fits, by eye :) photometry see the difference. Re-do photometry"
695211100018408,artefact,plane/flying body,plane/flying body
695211100131796,LBV?,,"Has interesting variability. HII region, PSO J011.0457+41.5548 -- Object of unknown nature/LBV candidate"
695211100131134,artefact,plane/flying body,"STILL LOOKS UNKNOWN VARIABLE, plane/flying body"
695211200077906,uncat,binary,EB? Red and blue stars
695211100080479,artefact,plane/flying body,plane/flying body
695211100004663,artefact,plane/flying body,plane/flying body
695211400010060,uncat,1-point transient,1-point transient (2 mag brighter). Red star. Re-do photometry
695211400088066,artefact,,empty field fits; near M31 center
695211400134229,artefact,,empty field fits; near M31 center
695211400025927,uncat,red star,red star
695211200057718,uncat,,EB?
695211400008325,artefact,,"fast peaks, artefact? We see something on the images but does not correspond the automatic photometry"
695211200013613,artefact,bad column,bad column
695211300007276,Cepheid,,
695211400066438,artefact,spaceship,spaceship
695211100015190,uncat,red star,Variable; red star
695211200050499,artefact,bad column,bad column
695211200059173,uncat,binary,"two blue stars, companion is known. Check better"
