,amplitude,beyond_1_std,beyond_2_std,cusum,eta,eta_e,inter_percentile_range_25,inter_percentile_range_10,kurtosis,linear_fit_slope,linear_fit_slope_sigma,linear_fit_reduced_chi2,linear_trend,linear_trend_sigma,magnitude_percentage_ratio_40_5,magnitude_percentage_ratio_20_10,maximum_slope,mean,median_absolute_deviation,median_buffer_range_percentage_5,percent_amplitude,percent_difference_magnitude_percentile_5,percent_difference_magnitude_percentile_20,period_0,period_s_to_n_0,period_1,period_s_to_n_1,period_2,period_s_to_n_2,periodogram_amplitude,periodogram_beyond_1_std,periodogram_beyond_2_std,periodogram_cusum,periodogram_eta,periodogram_inter_percentile_range_25,periodogram_standard_deviation,periodogram_percent_amplitude,chi2,skew,standard_deviation,stetson_K,weighted_mean
PCA1,0.25027907,0.048895895,-0.0036697686,0.08591205,-0.1018813,-0.18923438,0.2612763,0.2627043,-0.022062052,-0.054600973,0.24244143,0.043725904,-0.06634575,0.25524774,0.00787978,0.0057663755,0.18537346,0.22419493,0.2613893,-0.066244036,0.24097434,0.26074633,0.2602216,0.0067899013,-0.117933884,4.961713e-05,-0.13477057,0.009433865,-0.14260025,-0.06380476,-0.0034088441,-0.0034531434,0.046677448,0.17318602,0.15222712,0.09524631,-0.06489025,0.041466992,-0.1130041,0.26399526,-0.020056931,0.222125
PCA2,0.027381727,0.01119566,-0.012580246,0.2617793,-0.27193174,-0.1035744,0.03543508,0.03600639,-0.020416595,0.07185845,-0.0058836415,0.059514847,0.084485695,0.028092472,0.0057135164,0.003010787,-0.021919772,-0.0462292,0.034026224,-0.026620498,0.031064149,0.04127455,0.040881094,0.13840562,0.3080549,0.12811719,0.28335765,0.088920936,0.27074033,0.34307203,-0.3097693,-0.3140957,-0.0060766195,-0.040500894,0.03578578,0.28799373,0.34261099,0.058168527,-0.052625448,0.035933625,-0.001992564,-0.047486804
PCA3,0.12205996,-0.37620023,0.033774495,-0.03724651,0.01988715,0.039661556,-0.01492995,0.005634688,0.308662,0.08054607,-0.12899585,0.3879741,0.17245823,-0.001240717,-0.18951486,-0.17385678,0.045322046,-0.079946905,-0.019485455,-0.28917,0.16794163,0.03966959,0.0045146183,-0.0032075283,0.010389652,1.644484e-05,0.024902068,-0.0019602824,0.03273729,-0.021610247,0.09053253,0.05508796,0.1057799,-0.08747885,-0.07818167,-0.082969025,-0.021107791,0.38384277,-0.08970292,0.03409993,-0.3767846,-0.086401395
PCA4,-0.04227366,0.30328643,-0.15389022,-0.088380694,0.12165495,0.090487234,0.06549552,0.029510498,-0.117118716,-0.15346277,-0.083640575,0.4109775,-0.11078157,0.017101113,0.27514482,0.24828449,0.008172994,-0.088072464,0.059941344,-0.33848402,-0.053281035,0.021172948,0.07974004,-0.028071994,0.011775613,-0.03534138,0.009738797,-0.04497799,0.009201814,0.038577504,0.017763507,0.0041865855,-0.12599625,-0.019933093,-0.053059503,-0.023940595,0.038872235,0.40651894,0.11322351,0.013446728,0.36542147,-0.09334153
PCA5,-0.110140786,-0.06302689,-0.16740829,0.26545507,-0.19290341,-0.13216007,-0.048809767,-0.056192756,0.16775182,-0.16775647,0.069661826,0.05232212,-0.19085646,0.097251795,0.059982892,0.04697459,-0.34680128,-0.25440612,-0.050399065,-0.021061907,-0.06497589,-0.06877216,-0.057595447,0.16752745,-0.19148716,0.14810638,-0.22511652,0.14817572,-0.23795173,-0.095807225,0.019530594,-0.004432613,0.13710128,-0.020719396,0.36252025,0.21730676,-0.09862267,0.057046562,0.03113819,-0.054714117,-0.05378372,-0.257235
PCA6,0.05412668,-0.1465565,-0.09024432,-0.15211923,0.077746175,0.023957103,-0.021559127,-0.019421473,0.22639276,-0.5951502,0.0541133,-0.03831309,-0.55959487,-0.012251936,-0.0152337365,-0.021221852,0.05111794,0.0320641,-0.018700399,0.0996148,0.08163246,-0.026192067,-0.03243722,-0.096641526,0.10110749,-0.07194424,0.07173912,-0.065110825,0.05782151,0.10398905,-0.047596406,-0.15896109,-0.21213047,0.03828373,-0.1109741,-0.0061383704,0.10439779,-0.024830356,-0.023798017,-0.0037400958,-0.20731097,0.03148956
PCA7,-0.077636175,0.008747404,0.54138464,0.00761725,-0.008544385,0.017616302,-0.026538223,0.029141098,-0.37544084,-0.14218602,0.0054023303,0.10980314,-0.16201095,0.039842136,-0.4318643,-0.40548262,-0.04785793,-0.05294233,-0.029144056,-0.10838321,-0.116596855,0.052901097,-0.017931605,0.008072098,-0.042882342,0.0014671145,-0.0642316,0.006917292,-0.07141844,-0.02221789,-0.09675541,-0.052416902,-0.17115244,-0.017399173,0.09751646,0.0739419,-0.02291878,0.11275101,0.04710095,0.0092190495,0.15988526,-0.0540604
PCA8,8.929032e-05,0.029286256,0.041277546,0.045062654,-0.02357319,0.046429165,0.008440511,0.006012046,-0.05130505,-0.08505487,0.0034734565,0.004258089,-0.06117449,0.0017607468,0.005107526,0.016951565,0.043408062,0.0043251105,0.008729532,-0.001953125,-0.0053950846,0.0059523582,0.00857842,-0.5798054,0.011628352,0.41309357,0.019885842,0.60032785,0.026819134,-0.045972366,-0.055427756,0.01373319,0.2380751,-0.06736174,-0.16756538,-0.08977335,-0.04444237,0.0075481143,-0.04404415,0.0053789364,0.036097646,0.0038673459
PCA9,-0.019879429,0.0909349,0.110556245,0.06284122,-0.14075567,0.013908574,0.007983148,0.0077242553,-0.06628212,-0.21081327,0.009029061,0.014064226,-0.15501386,-0.009449959,-0.019952029,0.0010472536,0.042906307,-0.015970591,0.008825088,0.041025616,-0.030754661,0.005638472,0.0072543556,0.24147305,0.024419695,-0.14041483,0.038786914,-0.20489152,0.042326145,-0.046617784,-0.11652639,0.06894279,0.7669204,-0.10974057,-0.31728455,-0.10863458,-0.043329906,0.024120163,-0.0934402,0.0025322416,0.08913343,-0.017029556
PCA10,-0.0022942596,-0.00429884,0.016300982,0.017774608,0.0021468094,-0.016710395,0.0031561144,0.0043896833,0.029274255,-0.0052240863,0.0066885985,-0.008517316,-0.011160485,0.005262262,-0.012697958,-0.010801803,0.0015537664,9.6067786e-05,0.0033834577,-0.008943334,-0.007515967,0.0042555407,0.003022559,-0.14266193,0.0056788325,0.7418983,0.015624344,-0.6449227,0.010459693,7.8335404e-05,0.04065504,0.026885476,0.023792163,0.04097827,0.015291676,-0.014617501,-6.382495e-05,-0.008848518,0.07071409,0.0026832777,0.015540863,0.00021660257
PCA11,0.0067503564,-0.067737654,0.06506367,0.030076785,0.008603275,-0.048008878,0.05725169,0.063565955,0.3108832,0.02235081,0.021162078,-0.07330061,-0.038890753,0.03529428,-0.08221745,-0.09711467,0.11330435,-0.02499628,0.057237834,-0.081722125,-0.050028764,0.06294416,0.057839096,0.06157542,0.06650292,-0.022701591,0.0779949,0.11208966,0.077998795,0.038381655,0.12095726,0.034722943,0.13279857,0.14763457,-0.0015854011,-0.03897126,0.038239304,-0.085235305,0.8358536,0.045742285,0.15365918,-0.024092294
PCA12,-0.04143332,0.10658271,-0.005056329,-0.19373362,-0.11840946,-0.3654545,-0.042416513,-0.025454909,0.025641099,0.022772074,-0.018955708,0.1265811,0.03466097,-0.0726399,-0.040312886,-0.10504505,-0.1585933,-0.038167283,-0.04047977,0.19009751,-0.04299488,-0.028769014,-0.03944315,-0.4564147,0.035005055,-0.26022172,0.076755896,-0.1515133,0.087651774,0.13081336,0.15210076,0.13475722,0.20813832,0.4296424,0.19160716,0.11427595,0.1295281,0.13485846,-0.07116769,-0.035386533,0.03872719,-0.037005663
PCA13,-0.0020242569,-0.25568813,0.6045636,0.060049854,0.022851799,-0.0881604,-0.00419675,-0.06733766,0.013474907,-0.07498254,-0.009483314,0.039200146,-0.031185346,-0.0319421,0.19193357,0.5181545,-0.0063220374,0.022306986,-0.0032008812,0.06556078,-0.019714743,-0.01969764,-0.0066015087,0.19277048,0.06955437,0.10447207,0.09351182,0.114409804,0.09909743,0.0071265697,0.19636929,0.1243757,-0.03945716,0.2505133,0.08616484,-0.091774516,0.0062338975,0.05045881,-0.10062517,-0.015349916,-0.002737612,0.022256274
PCA14,-0.0084843645,0.22959363,-0.28149566,0.13855295,0.10021254,-0.071815826,-0.03086833,0.007931761,-0.06836492,-0.10198871,-0.018929102,0.007286057,-0.041497983,-0.034665294,-0.14614996,-0.29958218,0.016151488,0.0146743655,-0.029557064,-0.018573731,0.0041122437,-0.021455705,-0.02945283,0.39451978,0.13142355,0.23295969,0.1703189,0.22320819,0.17756595,-0.029081933,0.28099197,0.19904566,-0.05859525,0.36688057,-0.0069329655,-0.2547357,-0.02934435,0.02200981,-0.19467145,-0.018926296,0.016613204,0.013531824
