,amplitude,beyond_1_std,beyond_2_std,cusum,eta,eta_e,inter_percentile_range_25,inter_percentile_range_10,kurtosis,linear_fit_slope,linear_fit_slope_sigma,linear_fit_reduced_chi2,linear_trend,linear_trend_sigma,magnitude_percentage_ratio_40_5,magnitude_percentage_ratio_20_10,maximum_slope,mean,median_absolute_deviation,median_buffer_range_percentage_5,percent_amplitude,percent_difference_magnitude_percentile_5,percent_difference_magnitude_percentile_20,period_0,period_s_to_n_0,period_1,period_s_to_n_1,period_2,period_s_to_n_2,periodogram_amplitude,periodogram_beyond_1_std,periodogram_beyond_2_std,periodogram_cusum,periodogram_eta,periodogram_inter_percentile_range_25,periodogram_standard_deviation,periodogram_percent_amplitude,chi2,skew,standard_deviation,stetson_K,weighted_mean
PCA1,0.24064048,0.06766355,0.051158994,-0.11502925,0.13730155,0.07537215,0.24800307,0.24965204,-0.03139863,-0.13270494,0.24961758,0.0065840576,-0.090612434,0.24853688,-0.026647966,-0.020617384,0.24817525,0.24322446,0.24946454,-0.014832253,0.22621377,0.24787444,0.24686503,-0.065251194,-0.1515576,-0.040893525,-0.1532657,-0.03759334,-0.15346785,-0.09947945,0.11352983,0.11254112,0.014083657,-0.07966479,-0.05348556,-0.075832315,-0.09937152,0.0045541185,0.0299417,0.24895303,0.069697835,0.24266689
PCA2,0.12283397,-0.033887208,-0.036488175,0.29489172,-0.2526561,-0.24469651,0.12875636,0.12721853,0.015256893,-0.06061677,0.07817563,0.09692503,-0.052556146,0.12869772,0.032995928,0.0022078052,0.08927326,-0.000262697,0.12277575,-0.069789566,0.12800628,0.13116851,0.1333913,0.05150616,0.2252987,0.025450815,0.23540564,0.025376912,0.2442422,0.29798904,-0.2738648,-0.27366337,-0.08480507,-0.10168423,-0.0709174,0.27672622,0.2979886,0.0774587,-0.0020490985,0.13021296,-0.022433355,-0.0015732031
PCA3,0.11066792,-0.44062346,0.021523476,-0.032993734,-0.04826522,-0.1967811,0.0052862056,0.028597627,0.30889168,-0.033627752,0.025725527,0.055941932,-0.04322036,0.04598094,-0.2803823,-0.2556336,0.06492135,-0.08378185,0.008163264,-0.06162288,0.14577745,0.04116602,0.0063294447,0.095636226,0.10789697,0.056291427,0.09151811,0.06498463,0.07669874,-0.14333305,0.09228101,0.07228445,0.09693418,0.20320679,0.20924504,-0.18562649,-0.14360306,0.06453571,-0.09160531,0.046543516,-0.464297,-0.0849626
PCA4,0.0004937103,-0.0022682808,-0.073268324,-0.05957131,0.005475955,0.06560053,-0.014987403,-0.0042245276,0.06509308,0.16127817,-0.08910628,0.561905,0.13020226,-0.012633301,0.08604784,0.03267994,-0.037985656,-0.02235921,-0.03598048,-0.46764135,0.031174745,0.014560577,0.0032942623,-0.079494655,-0.115565546,-0.049073197,-0.11706596,-0.05305426,-0.111987464,0.04755969,0.06534984,0.07569756,0.00844702,0.011321136,-0.06770171,0.07778182,0.047622543,0.5517718,-0.047552567,0.005016643,-0.010306152,-0.02281306
PCA5,-0.0572446,0.17475358,-0.039239347,0.049703985,-0.03490083,-0.115318716,0.014647305,0.009976715,-0.16417024,-0.44805753,0.01135242,0.1305394,-0.5036358,0.0017083175,0.15340285,0.157535,-0.048224423,-0.09830954,0.01338137,-0.1573208,-0.08375393,0.0040923655,0.013147827,0.22781241,0.11094514,0.11731564,0.08774493,0.15166518,0.06390155,-0.09694281,0.09400307,0.10442564,0.12939836,0.19970058,0.21940713,-0.14598401,-0.09717531,0.13803986,0.09145566,-0.00031763464,0.2039842,-0.099502765
PCA6,-0.052049458,0.026637312,0.5201506,-0.0013679862,0.024414957,0.144261,-0.02783209,0.011103847,-0.39170876,0.052966177,-0.0020640492,0.09008835,0.06529271,-0.0061190724,-0.37902516,-0.3770661,-0.00848404,0.024063945,-0.027139824,-0.113770455,-0.084294625,0.029943064,-0.021197507,0.06924173,0.14021082,0.023965554,0.13349542,0.034969863,0.12722546,-0.06951493,-0.08667968,-0.07172385,0.011387615,-0.2061394,0.026184505,-0.117800646,-0.069430806,0.13890295,0.2138386,0.0050311806,0.14504491,0.024409126
PCA7,0.0006412749,-0.010174673,-0.042833883,-0.0730125,0.29699564,0.23496827,-0.022912726,-0.01851577,0.111184694,-0.06108725,-0.0026853746,0.015126627,-0.097778484,-0.02385725,0.0031038523,-0.0055125356,0.013560146,0.08861913,-0.021020744,-0.047995426,0.010320947,-0.01831766,-0.02444076,0.18409127,0.18916765,0.05009985,0.17369275,0.118867934,0.15730602,-0.012055711,0.0759127,-0.06337042,-0.57077914,0.25041518,-0.4915953,-0.12330164,-0.0116834035,0.04169905,-0.034944028,-0.01638735,-0.04745008,0.08938987
PCA8,-0.058006104,-0.14372812,0.12005175,0.0108252615,-0.00891602,0.009627268,-0.07722926,-0.05094999,0.102136046,-0.41629487,-0.050272837,-0.002372276,-0.45722184,-0.054347597,-0.17158218,-0.22039467,-0.053711876,-0.050215475,-0.07746676,-0.018489847,-0.048362892,-0.043112293,-0.0732526,-0.2893209,-0.21100225,-0.13914078,-0.18576197,-0.2822908,-0.1535831,0.12279314,-0.048532575,-0.0244803,-0.08879841,-0.07982635,-0.22648841,0.20189577,0.12305679,-0.0142196845,0.11083362,-0.051048778,-0.112472706,-0.050104406
PCA9,0.002832589,0.056717757,-0.051130094,-0.011986956,0.08088376,0.05444703,-0.0018078238,-0.005494985,0.012894668,-0.03713662,0.006112445,0.027999748,-0.04512203,-0.0039942563,0.029670596,0.0971192,0.01103732,0.0135291815,0.0020947456,-0.04439047,-0.0015562475,-0.00714764,-0.0032434464,-0.39311066,0.078850895,0.591901,0.11994064,-0.4522621,0.13632877,-0.14940985,-0.13744093,-0.1841189,-0.05835778,-0.13101034,0.103629924,-0.17786194,-0.149496,0.04170249,-0.23738481,-0.005504354,-0.008995637,0.013491029
PCA10,-0.0073500746,0.0799289,-0.052376814,-0.006121723,0.080461055,0.11949951,-0.023524404,-0.022095194,0.07045266,-0.10425205,-0.010228001,0.028342538,-0.11636223,-0.02304098,0.007857591,0.074920096,0.0070694983,0.038005233,-0.017896384,-0.04403755,-0.007883817,-0.02260001,-0.023515746,0.08004292,0.060345054,-0.6228408,0.0744373,-0.03709066,0.10125789,-0.15481932,-0.2130014,-0.24256516,0.03212465,-0.3112746,0.11993674,-0.1701562,-0.15485977,0.04706229,-0.46104088,-0.022598175,-0.047959138,0.038238388
PCA11,0.036875993,-0.11532815,-0.2582922,-0.07103171,0.084706634,0.018673604,-0.0011903644,-0.012291938,0.13235927,0.04501334,-0.010557473,0.01400519,0.040045798,-0.0032233833,0.08420914,0.13020858,0.021004677,-0.01206395,0.0003329888,-0.02469737,0.060136385,-0.011782136,-0.0019045174,0.031189304,0.08967665,-0.222138,0.10078666,-0.31792045,0.11219575,-0.113547914,-0.10449071,-0.1319344,0.0072270115,-0.09228472,0.064318724,-0.14187615,-0.113570094,0.018587792,0.7653818,-0.0013345282,0.002876061,-0.011815978
PCA12,0.0047341865,-0.052914944,-0.12679209,-0.009220362,0.08259308,0.16607001,-0.034086257,-0.032807276,0.190761,-0.07722127,-0.034353934,0.023084946,-0.07951565,-0.031551853,0.01050777,0.03058955,0.012764506,0.045612216,-0.032922044,-0.017457485,0.026780382,-0.029438607,-0.031234741,-0.35632417,-0.009259179,0.1793367,0.011959296,0.71318436,0.033315215,-0.04120809,-0.120865375,-0.09141459,0.1788132,-0.3399712,-0.07594494,-0.022357097,-0.04095396,0.01956249,0.17284818,-0.02616326,-0.05834381,0.046325274
PCA13,-0.005587503,0.001179914,-0.05574155,0.04719729,0.06537382,0.25710133,-0.03733823,-0.030672938,0.22284652,-0.052574154,-0.038183406,-0.0029156655,-0.05156617,-0.03791049,0.006099999,-0.060715258,0.013996959,0.10283449,-0.037616342,0.009919256,0.017870605,-0.027147941,-0.033731878,0.5584887,0.05805587,0.26603934,0.017302725,-0.20858616,-0.028900655,0.08488636,0.020173384,0.11211676,0.46122044,-0.3101317,-0.23854505,0.07234524,0.085410506,-0.0031087855,-0.048247512,-0.027078057,-0.051360257,0.10394171
PCA14,0.0011321492,0.27784953,-0.6932165,0.024322374,-0.045599364,-0.0056642797,-0.017913226,0.021936696,-0.13311252,0.0026630163,-0.00499772,-0.010643743,-0.0029040873,-0.01034902,-0.20782752,-0.58110607,-0.01633469,0.024075903,-0.013135657,0.025777802,0.00806808,-0.00080923736,-0.019355416,0.043092906,-0.035901845,0.039639264,-0.037690908,0.016487136,-0.035803005,-0.010432882,-0.014157264,-0.018343095,-0.10123752,-0.004210633,0.10216346,0.0025871485,-0.010594373,0.034097794,-0.024186658,-0.008129303,0.07871045,0.024370931
PCA15,-0.0050292206,-0.026141943,0.064898565,0.0808784,-0.17928377,0.0007699579,-0.025081899,-0.02848284,0.14109942,-0.040497344,-0.022649359,0.113582626,-0.017695785,-0.023569822,-0.14112605,0.19470572,-0.0041389763,0.044698425,-0.021706313,0.20564705,0.0057693273,-0.01731518,-0.01341629,0.33668745,-0.18457174,0.19246536,-0.19550937,0.073150516,-0.19884916,-0.044650152,0.0022929423,-0.08579771,-0.534685,-0.332056,0.34398925,0.02836449,-0.04533232,0.11489052,0.07114118,-0.020697165,-0.030744322,0.04571402
PCA16,0.004343788,-0.018409908,-0.010287781,0.03550233,-0.06613484,0.012670033,0.013339238,0.0023729913,0.013117991,0.033412594,-0.04052153,-0.3177156,0.014964014,0.0024431646,-0.007839151,0.021532051,-0.021418035,0.00016600639,-0.005743861,-0.8172865,0.017964438,-0.006026186,0.0044501424,0.10312873,-0.06888729,0.058740184,-0.07204136,0.028701544,-0.07133879,-0.016523648,-0.02080109,-0.03028293,-0.13851835,-0.09448967,0.081703566,0.015386894,-0.01667547,-0.3909008,0.009330748,0.0051392047,-0.017881732,-0.0013770965
PCA17,-0.00020588178,0.14696844,-0.1837849,0.021855716,0.033902425,-0.046982046,0.017499749,0.00071728625,-0.09916681,0.010700615,-0.008752173,0.012992796,0.012082649,0.008006039,-0.7622004,0.51699924,-0.004488189,-0.05694869,0.009573594,-0.03219983,-0.00090464763,0.008456151,0.03755158,-0.0015472062,-0.02192359,-0.006294109,-0.016820356,-0.001338914,-0.014062259,-0.0068018436,-0.063874185,-0.0021250024,0.13530901,0.10654132,-0.18715878,0.032833382,-0.0064321384,-0.0042052045,-0.0042301267,0.0036900453,-0.040633686,-0.057637602
PCA18,0.04420892,-0.20780618,-0.05941178,0.08385471,0.10511738,-0.18694769,0.039228737,0.029028028,-0.32028815,0.0018767715,-0.015202284,0.068127096,0.055908382,0.050992638,0.18360019,-0.048045933,0.06354591,-0.29386523,0.03710261,0.053637296,0.03466654,0.027022794,0.037468296,0.2091603,-0.21368481,0.10774258,-0.19074231,0.05722016,-0.1620114,-0.21943498,-0.3307495,-0.18490012,0.02578326,-0.04631889,-0.37320992,-0.07897821,-0.21859735,-0.033363596,-0.034270074,0.029890258,-0.05275804,-0.2966348
PCA19,-0.094198,0.40807056,0.23012322,0.15449801,0.011647046,-0.19058366,0.041828677,0.05284056,0.61609095,0.056924686,0.07045436,-0.01222977,0.07253952,0.033757746,-0.06453477,-0.16506833,-0.06274907,-0.046718255,0.04390921,-0.019849777,-0.12811565,0.024769232,0.034579277,0.029968318,-0.10553888,0.017786413,-0.08111215,0.017795132,-0.05171499,-0.1322596,-0.1649316,-0.2048653,0.076108165,0.21193784,-0.10028262,-0.056431875,-0.13216145,0.023335516,0.061518952,0.01708671,0.23975089,-0.047652043
PCA20,0.04953836,-0.13869812,0.013413427,0.20763831,-0.060273543,0.09147309,-0.09278971,-0.06970641,-0.16513467,0.081503615,-0.022343278,-0.11327012,-0.11717066,-0.07209857,0.0393992,0.032346934,-0.0840999,0.4185911,-0.08231634,-0.015710175,0.09179635,-0.056898236,-0.0995188,0.05496177,-0.14533603,0.038191736,-0.11763662,0.025834002,-0.07246921,-0.05448096,-0.30313763,-0.25672877,0.14182892,0.41957062,0.08521364,0.03543275,-0.05451602,0.16340597,0.037661426,-0.04644668,-0.08636176,0.4223594
PCA21,-0.04255897,-0.03486693,-0.028719883,-0.04383642,0.015518181,-0.21222864,-0.03754182,0.028481912,-0.0048195794,-0.01437027,0.15503478,-0.6664326,0.038516685,-0.008342497,0.020252323,0.042096205,-0.04200448,-0.03169296,-0.0052110404,-0.052741066,-0.0624184,0.032072857,-0.059942454,-0.0013617873,0.013369553,0.00029808283,-0.0018611401,-0.00014522672,-0.0061384737,0.010273434,0.04554343,0.095171854,-0.030464804,-0.16211247,-0.102706715,-0.043344878,0.010422547,0.63837445,-0.013597452,0.024005363,0.0021659937,-0.031679887
PCA22,-0.22895801,-0.18826666,-0.089563355,-0.12959425,-0.08818054,-0.50894237,0.01561296,-0.019329024,-0.028386816,-0.020021468,0.24473616,0.22477747,0.038396277,0.014094695,-0.007908434,0.009856638,-0.2474773,0.3089497,-2.3469329e-05,-0.038752105,-0.32270542,-0.050010473,-0.008245863,0.0031524207,0.049772482,-0.0012871772,0.03791523,-0.00037698448,0.019680351,-0.08624027,0.017057028,0.11915986,-0.018220931,-0.18666364,-0.20988399,-0.060605504,-0.08587979,-0.152705,-0.024798121,-0.032950647,0.047458846,0.31264892
PCA23,0.056933474,0.17214021,0.070584364,-0.85734177,-0.030632913,-0.1458035,-0.017873805,-0.003445305,-0.0019702641,0.019748274,-0.06962032,-0.017551586,-0.08734721,-0.012653442,0.015017889,-0.014442448,-0.0066041425,0.0017917529,-0.0123350695,0.0014688149,0.084524736,0.00057086116,-0.007999122,0.1342822,-0.013641894,0.087994665,-0.010741651,0.047572166,-0.0026740432,0.10445216,-0.22688544,-0.22522588,0.039765265,0.060237713,0.062242612,0.118372545,0.104204684,0.0032142308,5.7881698e-05,-0.0020349724,-0.089249834,0.0018168613
PCA24,0.18018231,0.5176397,0.1294397,0.12256125,-0.2340545,-0.20833233,-0.103658184,-0.08651759,-0.10001068,0.1174403,-0.06719196,0.033079565,-0.11199936,-0.042644545,0.1139704,0.0045407563,-0.0015221238,0.05564937,-0.08486575,0.0073384047,0.2872539,-0.086663246,-0.091583155,-0.053441036,0.05178638,-0.032066576,0.031159911,-0.019097436,0.0085769445,-0.120462485,0.052675463,0.20914553,-0.04496637,-0.13131589,-0.21003321,-0.08768912,-0.12003192,-0.028670095,0.10235951,-0.0516996,-0.46291205,0.05577015
PCA25,-0.030677175,0.19020382,0.046785917,0.13741171,0.67494184,-0.19594106,-0.05014204,-0.04760536,-0.088240676,-0.13455546,0.30700114,0.07572627,0.15355547,-0.006114427,0.03144589,-0.007305566,0.08029238,0.0059661567,-0.039020315,-0.051249657,-0.08202566,-0.09178908,-0.07234609,0.05030346,-0.07089808,0.02673151,-0.040106505,0.016518295,-0.009020761,0.17595088,0.015886351,-0.10162747,0.020941243,-0.016051054,0.24114779,0.062307954,0.17570072,-0.02624929,0.060122665,-0.054781295,-0.3298541,0.0073477775
PCA26,0.06619686,-0.07724717,0.00581486,0.06920162,0.34038535,-0.15316194,0.014471516,0.034857236,0.02102431,0.61620927,-0.08705403,-0.0057071177,-0.5542814,0.052061707,-0.039380245,-0.012703389,-0.26892433,-0.037087448,0.02883133,0.03955199,0.096177205,0.0708034,0.017847918,0.011314243,-0.007565409,0.0060554966,-0.0066633075,0.004629761,-0.0010989904,0.06017074,0.038968876,0.036449052,-0.014440652,-0.11563976,0.07175052,-0.0033202618,0.06023445,-0.031329095,-0.029518992,0.048406437,0.13868913,-0.037908137
PCA27,0.23909472,-0.12481702,0.02316593,0.00023615733,0.11105473,-0.31064188,-0.21033444,-0.16280073,0.062868565,-0.10299745,-0.0027397424,0.04355799,0.08142985,-0.11205652,-0.07783997,-0.005247742,0.31800848,0.0464904,-0.20706916,-0.030128963,0.44717127,-0.14420786,-0.22066292,-0.008017261,0.014581991,-0.0044846497,0.015377067,-0.0014576539,0.0049536116,0.013528809,0.032479435,0.048227075,-0.0047036232,-0.04509192,-0.030409113,-0.026563529,0.013595094,-0.035718545,-0.07539422,-0.12401016,0.5062554,0.047412537
PCA28,-0.08020711,-0.009065079,-0.032127485,-0.04632285,-0.25091335,0.17568861,-0.09933319,-0.07158582,0.0069770366,0.3101657,0.63165694,0.056824908,-0.26180044,-0.016568616,0.005534433,0.019313285,0.46213746,-0.08981718,-0.061894707,-0.03610918,-0.1719796,-0.08605175,-0.14475799,-0.0017138124,0.002183199,0.0016644597,-0.029497366,0.0012675971,-0.03922826,0.038177222,-0.026902106,-0.04261473,0.009153888,0.04135576,-0.033899672,-0.07961172,0.037933484,-0.020325094,0.0069127083,-0.06166554,-0.014155656,-0.086544044
PCA29,0.15667188,-0.013320819,0.0026837252,-0.018627128,-0.12863605,0.097119704,-0.027243838,-0.022227168,-0.052703485,-0.06780104,0.36547598,0.021366075,0.06389439,0.035462946,-0.0042898953,0.005200997,-0.49189895,-0.079193816,-0.03654948,0.0041246116,0.25454092,-0.052643135,-0.053788573,0.016197665,-0.06771318,0.0075711347,-0.024159644,0.005477924,0.043093704,-0.019825615,0.47192845,-0.4759981,0.09116654,-0.02525717,-0.07903862,0.0062731057,-0.020302739,-0.020875596,-0.0052476227,-0.008122753,0.036221653,-0.07952207
PCA30,0.14629571,-0.012426235,0.011742236,-0.027359363,0.008988856,0.19428667,-0.012322672,-0.008942321,0.061038867,-0.09259944,0.38253585,0.03437537,0.08885747,0.02325669,-0.00989759,0.0010824203,-0.4475727,-0.08393916,-0.00577938,0.004529029,0.20543703,-0.040816694,-0.04850836,-0.009366974,0.07825143,-0.0019204617,0.015717786,-0.002331391,-0.061566785,0.045283437,-0.5165585,0.45412067,-0.08965882,0.04645594,0.075578205,-0.042959347,0.04559189,-0.029650502,-0.0140952915,-0.0052116737,0.06427396,-0.084054686
PCA31,0.022709891,0.0015926254,-0.0024304828,0.03226864,-0.062052816,-0.04818146,0.010744629,0.006544908,-0.009662783,-0.030150082,-0.10689883,0.013747917,0.02956177,-0.03760727,-0.0037027374,0.0056694523,-0.0375225,0.01361246,0.04492835,0.007954769,-0.013106018,0.030493846,0.015686039,-0.04939784,0.30094057,-0.005092621,-0.10108104,-0.00022274256,-0.49785316,0.297133,-0.010839134,-0.15916894,0.034425333,-0.00084161013,-0.042135775,-0.6448353,0.29618943,-0.020525388,0.006888598,0.00325929,-0.010279009,0.013967663
PCA32,-0.017750671,-0.0006180499,0.00010799873,0.0032378712,0.08304934,0.009161143,-0.020271646,0.00094696996,-0.0037686578,0.011980243,0.04760691,-0.0127409315,-0.014507491,0.04796575,0.0073143393,-0.0016859435,0.015865177,-0.00687835,-0.0490407,-0.0037683435,0.003835719,-0.005716022,-0.011555387,-0.04758472,0.4705324,-0.013483435,0.25574872,-0.004864916,-0.6208148,-0.21357678,0.03302547,-0.08494958,-0.0065400302,0.010820642,0.03253156,0.4567614,-0.21317932,0.015307933,-0.00052812696,0.0052052736,-0.002792567,-0.0072432607
PCA33,-0.0028679743,0.026244048,-0.025867391,0.002621612,-0.0025766334,0.011764069,-0.4679141,0.21162803,0.007334427,-0.032220814,-0.027161608,0.026491536,0.043825403,0.30091724,0.031700224,0.054698452,-0.029883267,6.935466e-05,-0.464802,0.019024974,-0.102522634,0.50847185,-0.2146918,0.000984563,0.034582537,0.0017454233,-0.07850847,0.00021843612,0.043880038,0.0052730273,-0.0077831363,0.0017179251,-0.00084495544,0.00932923,0.0032534339,-0.02164194,0.0052158646,-0.07261312,0.0015457869,0.29640713,-0.013935432,-0.0029195547
PCA34,-0.0264431,-0.0015912717,0.0024633324,0.0007527834,0.028572336,-0.00081925513,0.047128826,-0.028441712,-0.001297977,0.0022917264,0.011611393,-0.0032524162,-0.0030686674,-0.019250259,-0.001027165,-0.004098311,0.008426815,-0.0018659066,0.034044243,-0.00068791024,0.027175702,-0.043051478,0.017410852,-0.018374229,0.56031084,0.0051461123,-0.7668287,-0.006270848,0.25094393,-0.061171245,0.0054204166,-0.012660623,-0.0022669733,0.00021827966,0.009405285,0.13049074,-0.06091261,0.005581796,-0.0015897155,-0.024587527,0.0030020177,-0.0017299801
PCA35,-0.81230956,0.004597351,0.0039954633,0.00062918663,0.003961891,0.009682581,0.05405894,0.07624978,-0.020401426,0.0076781735,0.043483652,-0.0077867247,-0.0065003037,0.07339916,0.006960131,0.001168713,0.029355325,-9.214878e-05,-0.11985723,0.0129619315,0.5384028,-0.0001584366,0.11127818,1.0404736e-05,-0.018957393,0.0001167655,0.015334056,0.00039236923,-0.00985331,0.018247835,-0.015756665,-0.00080225733,-0.00022247434,0.004938582,0.0086937845,-0.04446027,0.018279875,-0.004009383,-0.00015576603,0.036357675,-0.026127363,-0.0014373548
PCA36,0.012098378,-0.0016808743,0.002680612,0.008802042,0.015643403,-0.028993905,-0.041792497,0.34337384,-0.0034552484,0.00796286,0.11219484,0.024625428,-0.001097966,-0.85701835,0.012241548,0.010772634,-0.0076392815,-0.013361549,-0.07037469,0.002197003,0.037631348,0.3111505,0.14761229,-0.0015655393,0.008361476,-0.0009630304,0.005322665,-0.00049314275,-0.0035938174,-0.024574,0.009071508,-0.0023833215,0.00025646389,-0.0053168535,-0.0035699606,0.034444854,-0.02459374,-0.040195823,0.0011929423,0.03561853,-0.016471475,-0.0008907225
PCA37,0.15190211,-0.009286322,0.0062004104,0.00013978034,-0.003337253,-0.00020035356,0.088191375,0.168948,0.0030185208,0.01893095,0.025484309,-0.037400283,-0.02357126,0.095300905,0.004663661,-0.013288051,0.011065692,-0.0007532835,-0.64676964,0.009648472,-0.08918947,-0.33089298,0.61709833,-0.0009639263,0.0013562031,-0.00026146416,-0.010433149,-0.0003353879,0.003776893,0.014334515,-0.009299979,0.004103005,-0.00029599667,-0.0010711998,0.0011000484,-0.03818609,0.014095651,0.028753117,-0.0008488903,-0.091708675,0.00881511,0.004999036
PCA38,0.008728955,0.017715497,-0.0062953755,0.0014142906,0.0074245473,-0.00878779,0.29499266,-0.7202118,0.00424081,-0.0057149357,0.06486887,-0.019997133,0.0018253569,-0.051862776,0.0066169575,-0.023524908,-0.0034852996,-0.010398326,-0.22781278,0.0011411496,0.0025300048,0.53657,0.19251688,0.0007712729,-0.007684011,0.00031300262,0.0081295,0.0003280379,-0.0021866672,-0.0021130405,-0.0041351914,-0.0005258471,-6.2830746e-05,0.0031259358,0.0015938878,-0.0016448647,-0.002430603,0.005841911,-0.00023674965,-0.09207587,-0.0037902296,0.008037269
PCA39,-0.020767316,-0.0108679235,-4.5690686e-05,0.00062828837,0.00081505906,-0.0010515056,-0.6594679,-0.09342164,1.534447e-05,-0.0025661616,0.03656398,-0.010520728,0.0027168822,0.09481853,0.0055103786,-0.010678057,-0.004855048,-0.0037001,0.35091424,-0.014330819,0.034902416,0.14424925,0.50168324,-4.979968e-05,0.0019643083,-6.400794e-05,-0.000655286,-6.055087e-05,0.0030667484,-0.004433647,0.00094697624,0.0013809667,0.0005043447,0.002695877,-0.00030717254,0.010625184,-0.004643526,0.0054008067,-0.0006427616,-0.38443106,0.005038455,0.010506103
