mjd,mag,magerr,clrcoeff
58217.51123,15.522,0.021,0.078
58218.51126,15.538,0.021,0.086
58244.47482,15.566,0.022,0.076
58244.49278,15.543,0.021,0.086
58244.49323,15.614,0.022,0.084
58266.39492,15.541,0.021,0.083
58268.44406,15.519,0.021,0.062
58269.40228,15.524,0.021,0.076
58270.38031,15.545,0.021,0.076
58271.42281,15.530,0.021,0.078
58285.38512,15.527,0.021,0.083
58286.34408,15.554,0.022,0.077
58287.46170,15.524,0.021,0.080
58290.38324,15.535,0.021,0.067
58291.32250,15.531,0.021,0.070
58292.46845,15.546,0.021,0.070
58293.32380,15.551,0.022,0.075
58294.46823,15.523,0.021,0.077
58296.33620,15.550,0.022,0.083
58297.41515,15.545,0.021,0.087
58300.34118,15.530,0.021,0.086
58303.37310,15.543,0.021,0.067
58304.32185,15.545,0.021,0.068
58305.38215,15.546,0.021,0.079
58307.38493,15.565,0.022,0.086
58311.38538,15.559,0.022,0.085
58312.41859,15.536,0.021,0.076
58313.38940,15.541,0.021,0.071
58315.37746,15.557,0.022,0.082
58316.34332,15.571,0.022,0.073
58320.36466,15.539,0.021,0.064
58321.35461,15.563,0.022,0.074
58322.39254,15.606,0.022,0.075
58323.27121,15.522,0.021,0.072
58324.23811,15.560,0.022,0.078
58325.27865,15.548,0.022,0.072
58326.35529,15.559,0.022,0.071
58327.35157,15.563,0.022,0.071
58328.34739,15.589,0.022,0.077
58329.34401,15.540,0.021,0.072
58330.37675,15.533,0.021,0.070
58331.22997,15.571,0.022,0.085
58332.32302,15.575,0.022,0.086
58333.32417,15.562,0.022,0.082
58334.34910,15.576,0.022,0.082
58336.35352,15.555,0.022,0.077
58337.33347,15.551,0.022,0.083
58338.20561,15.581,0.022,0.079
58340.30817,15.545,0.021,0.082
58341.32545,15.553,0.022,0.086
58342.33138,15.561,0.022,0.072
58343.33028,15.567,0.022,0.080
58344.30844,15.539,0.021,0.071
58346.24561,15.567,0.022,0.080
58349.30148,15.607,0.022,0.083
58350.36511,15.550,0.022,0.076
58351.21664,15.537,0.021,0.055
58352.28126,15.570,0.022,0.072
58353.21828,15.570,0.022,0.073
58353.30759,15.556,0.022,0.061
58354.25935,15.573,0.022,0.064
58354.36172,15.572,0.022,0.068
58355.28239,15.586,0.022,0.084
58356.19835,15.563,0.022,0.072
58356.27721,15.522,0.021,0.056
58357.20995,15.581,0.022,0.076
58357.30859,15.567,0.022,0.075
58358.24221,15.572,0.022,0.070
58359.29398,15.573,0.022,0.069
58360.27892,15.528,0.021,0.073
58361.25801,15.554,0.022,0.072
58362.18715,15.603,0.022,0.065
58363.23805,15.561,0.022,0.076
58364.18824,15.575,0.022,0.061
58365.20621,15.577,0.022,0.065
58366.18746,15.596,0.022,0.064
58368.28127,15.550,0.022,0.071
58369.19077,15.523,0.021,0.065
58370.25815,15.578,0.022,0.075
58371.17527,15.560,0.022,0.070
58372.17598,15.604,0.022,0.083
58373.17059,15.536,0.021,0.059
58374.17580,15.579,0.022,0.068
58375.21004,15.564,0.022,0.063
58376.19362,15.573,0.022,0.077
58377.28224,15.521,0.021,0.063
58378.23841,15.539,0.021,0.062
58379.23379,15.568,0.022,0.081
58382.15396,15.577,0.022,0.066
58384.17182,15.567,0.022,0.078
58385.20972,15.575,0.022,0.068
58386.22876,15.562,0.022,0.067
58387.13084,15.549,0.022,0.057
58388.20753,15.577,0.022,0.070
58389.22848,15.620,0.022,0.083
58390.18679,15.551,0.022,0.057
58400.15259,15.571,0.022,0.083
58425.09323,15.629,0.022,0.080
58427.11095,15.616,0.022,0.072
58428.09902,15.575,0.022,0.064
58429.08905,15.553,0.022,0.070
58430.09187,15.559,0.022,0.077
58431.13275,15.563,0.022,0.086
58432.09194,15.608,0.022,0.081
58433.09057,15.585,0.022,0.082
58575.46243,15.565,0.022,0.078
58582.47012,15.602,0.022,0.091
58584.51278,15.580,0.022,0.073
58585.44478,15.567,0.022,0.078
58586.49740,15.606,0.022,0.075
58588.44959,15.596,0.022,0.083
58591.46695,15.584,0.022,0.084
58593.44350,15.584,0.022,0.090
58597.45460,15.609,0.022,0.081
58605.44822,15.595,0.022,0.066
58606.37406,15.588,0.022,0.084
58607.36512,15.606,0.022,0.085
58608.47607,15.604,0.022,0.084
58616.42658,15.563,0.022,0.077
58617.48756,15.613,0.022,0.082
58627.40178,15.583,0.022,0.072
58628.40939,15.587,0.022,0.072
58632.46756,15.592,0.022,0.090
58633.42757,15.568,0.022,0.083
58634.34192,15.596,0.022,0.075
58635.39374,15.519,0.000,0.000
58636.39374,15.530,0.000,0.000
58637.39374,15.550,0.000,0.000
58638.39374,15.557,0.000,0.000
58639.39374,15.539,0.000,0.000
58640.39374,15.509,0.000,0.000
58641.39374,15.496,0.000,0.000
58642.39374,15.508,0.000,0.000
58643.39374,15.513,0.000,0.000
58644.39374,15.474,0.000,0.000
58645.39374,15.402,0.000,0.000
58646.39374,15.371,0.000,0.000
58647.39374,15.448,0.000,0.000
58648.39374,15.612,0.000,0.000
58649.39374,15.652,0.000,0.000
58650.39374,15.310,0.000,0.000
58651.39374,14.765,0.000,0.000
58652.39374,14.293,0.000,0.000
58653.39374,13.983,0.000,0.000
58654.39374,13.836,0.000,0.000
58655.39374,13.827,0.000,0.000
58656.39374,13.920,0.000,0.000
58657.39374,14.058,0.000,0.000
58658.39374,14.181,0.000,0.000
58659.39374,14.249,0.000,0.000
58660.39374,14.268,0.000,0.000
58661.39374,14.272,0.000,0.000
58662.39374,14.285,0.000,0.000
58663.39374,14.312,0.000,0.000
58664.39374,14.346,0.000,0.000
58665.39374,14.381,0.000,0.000
58666.39374,14.414,0.000,0.000
58667.39374,14.445,0.000,0.000
58668.39374,14.472,0.000,0.000
58669.39374,14.492,0.000,0.000
