mjd,mag,magerr,clrcoeff
-20,15.116,0,
-19,15.094,0,
-18,15.049,0,
-17,14.995,0,
-16,14.949,0,
-15,14.924,0,
-14,14.926,0,
-13,14.951,0,
-12,14.984,0,
-11,14.998,0,
-10,14.959,0,
-9,14.848,0,
-8,14.671,0,
-7,14.457,0,
-6,14.238,0,
-5,14.039,0,
-4,13.873,0,
-3,13.747,0,
-2,13.662,0,
-1,13.618,0,
0,13.611,0,
1,13.636,0,
2,13.686,0,
3,13.749,0,
4,13.816,0,
5,13.875,0,
6,13.918,0,
7,13.940,0,
8,13.946,0,
9,13.942,0,
10,13.936,0,
11,13.935,0,
12,13.943,0,
13,13.961,0,
14,13.985,0,
15,14.013,0,
16,14.040,0,
17,14.062,0,
18,14.079,0,
19,14.091,0,
20,14.101,0,
21,14.112,0,
22,14.127,0,
23,14.146,0,
24,14.166,0,
25,14.185,0,
26,14.199,0,
27,14.206,0,
28,14.206,0,
29,14.201,0,
30,14.197,0,
31,14.198,0,
32,14.208,0,
33,14.230,0,
34,14.261,0,
35,14.296,0,
36,14.328,0,
37,14.348,0,
38,14.350,0,
39,14.334,0,
40,14.305,0,
41,14.273,0,
42,14.246,0,
43,14.233,0,
44,14.238,0,
45,14.257,0,
46,14.285,0,
47,14.308,0,
48,14.310,0,
49,14.279,0,
50,14.212,0,
51,14.117,0,
52,14.012,0,
53,13.914,0,
54,13.837,0,
55,13.793,0,
56,13.790,0,
57,13.831,0,
58,13.921,0,
59,14.059,0,
60,14.244,0,
61,14.469,0,
62,14.718,0,
63,14.962,0,
64,15.158,0,
65,15.267,0,
66,15.280,0,
67,15.230,0,
68,15.159,0,
69,15.100,0,
70,15.070,0,
71,15.073,0,
72,15.101,0,
73,15.145,0,
74,15.190,0,
75,15.220,0,
76,15.229,0,
77,15.215,0,
78,15.188,0,
79,15.158,0,
80,15.136,0,
81,15.125,0,
82,15.126,0,
83,15.136,0,
84,15.146,0,
85,15.151,0,
86,15.144,0,
87,15.126,0,
88,15.101,0,
89,15.076,0,
90,15.059,0,
91,15.053,0,
92,15.059,0,
93,15.073,0,
94,15.088,0,
95,15.096,0,
96,15.090,0,
97,15.068,0,
98,15.032,0,
99,14.993,0,
100,14.959,0,
