mjd,mag,magerr,clrcoeff
50294.409668,18.780,0.116,
50296.416504,19.196,0.235,
50301.427002,20.434,1.588,
50315.389893,20.245,0.992,
50317.323486,20.071,0.754,
50317.386963,20.938,1.577,
50325.326416,20.701,1.577,
50326.357178,20.469,0.648,
50331.406494,20.840,1.117,
50349.402100,19.549,0.478,
50361.279297,20.636,1.577,
50361.351318,20.739,0.850,
50367.196289,20.640,1.577,
50367.251221,20.442,1.040,
50376.175293,20.731,1.060,
50380.201904,19.876,1.024,
50387.257324,20.643,0.988,
50418.319824,20.814,1.645,
50438.284668,20.724,1.369,
50442.269531,20.377,0.894,
50452.265625,19.668,0.999,
50483.051025,19.880,0.664,
50485.083740,20.637,1.056,
50487.046143,20.367,0.644,
50490.249756,20.185,0.497,
50491.073975,20.895,1.228,
50492.078369,20.836,1.539,
50493.103027,20.607,1.156,
50494.072998,20.562,0.952,
50496.148193,19.952,0.440,
50501.148926,20.007,0.604,
50506.032959,19.617,0.250,
50507.026855,20.117,0.378,
50510.025879,19.491,0.327,
50511.037842,19.380,0.281,
50518.023193,19.553,0.155,
50521.056396,19.055,0.125,
50523.082275,19.133,0.302,
50530.060547,18.862,0.238,
50531.009277,18.826,0.151,
50532.018799,19.028,0.224,
50533.022217,18.813,0.157,
50534.075928,18.638,0.275,
50535.028076,18.801,0.106,
50536.002930,18.859,0.099,
50537.005371,18.518,0.102,
50537.999512,18.698,0.073,
50538.996582,18.602,0.069,
50539.997803,18.570,0.063,
50554.036133,17.663,0.039,
50555.040771,17.501,0.062,
50556.022949,17.437,0.079,
50557.083008,17.491,0.054,
50558.024170,17.322,0.071,
50559.061768,17.349,0.039,
50560.040527,17.384,0.038,
50561.057861,17.308,0.033,
50562.028076,17.230,0.036,
50562.989746,17.237,0.025,
50564.046143,17.184,0.029,
50568.050293,17.043,0.038,
50569.007324,17.113,0.024,
50570.008545,17.049,0.029,
50574.004883,16.932,0.033,
50575.026367,16.889,0.033,
50578.010498,16.882,0.026,
50582.009766,16.890,0.033,
50583.002441,16.894,0.031,
50588.000244,16.784,0.036,
50588.972900,16.745,0.034,
50589.981201,16.695,0.048,
50591.979980,16.674,0.035,
50595.971436,16.600,0.029,
50663.416260,15.650,0.022,
50664.399658,15.624,0.020,
50665.339355,15.607,0.021,
50666.393066,15.586,0.020,
50670.379883,15.564,0.020,
50697.392090,15.369,0.022,
50708.391602,15.265,0.021,
50727.373779,15.185,0.018,
50729.352051,15.175,0.023,
50730.222412,15.189,0.022,
50741.237305,15.260,0.018,
50748.270020,15.258,0.019,
50754.257080,15.180,0.018,
50759.318115,15.109,0.018,
50762.162109,15.078,0.018,
50772.338379,15.133,0.020,
50775.333496,15.063,0.017,
50780.170898,15.087,0.017,
50783.125000,15.125,0.017,
50786.097168,15.175,0.020,
50786.195312,15.185,0.019,
50788.235840,15.242,0.018,
50792.183594,15.302,0.018,
50797.076904,15.363,0.023,
50799.299561,15.391,0.016,
50802.243164,15.420,0.020,
50808.319336,15.363,0.022,
50811.356689,15.286,0.018,
50818.311523,15.074,0.016,
50821.295898,14.973,0.019,
50825.288574,14.864,0.019,
50828.127686,14.801,0.022,
50833.278076,14.788,0.022,
50842.097168,14.783,0.021,
50845.105225,14.797,0.020,
50851.236328,14.847,0.018,
50857.260986,14.872,0.017,
50862.216064,14.860,0.016,
50870.134766,14.889,0.029,
50875.062500,14.815,0.023,
50878.098145,14.773,0.024,
50884.063721,14.699,0.017,
50900.057373,14.655,0.021,
50904.136963,14.641,0.019,
50931.010986,14.690,0.024,
50941.036377,14.586,0.016,
50947.014893,14.528,0.015,
51140.112793,14.217,0.020,
51140.227539,14.224,0.025,
51253.093750,13.932,0.020,
51256.062744,14.028,0.016,
51258.066650,14.151,0.020,
51262.079834,14.385,0.017,
51263.056641,14.441,0.015,
51263.992188,14.510,0.015,
51266.073730,14.704,0.016,
51438.338379,16.866,0.034,
51442.307617,16.934,0.043,
51443.248047,16.979,0.043,
51443.396973,16.958,0.035,
51444.240723,16.938,0.054,
51445.390381,16.946,0.038,
51447.309082,16.970,0.040,
51448.192871,16.962,0.040,
51449.263184,16.945,0.042,
51450.286133,17.030,0.039,
51451.262695,17.066,0.031,
51455.265625,17.152,0.058,
51459.270020,17.161,0.041,
51526.168457,15.187,0.017,
51528.160645,15.141,0.017,
51530.194336,15.059,0.017,
51532.144287,14.982,0.021,
51538.128906,14.792,0.025,
51547.161133,14.763,0.024,
51549.167480,14.752,0.021,
51551.192139,14.738,0.020,
51553.186035,14.713,0.018,
51555.161133,14.690,0.018,
51558.181885,14.630,0.021,
51562.214844,14.590,0.018,
51564.137695,14.581,0.016,
51567.190430,14.575,0.018,
51569.174561,14.560,0.020,
51571.169678,14.545,0.019,
51576.154541,14.478,0.018,
51578.094238,14.464,0.020,
51580.116699,14.397,0.018,
51582.116211,14.385,0.020,
51586.107422,14.350,0.021,
51588.101807,14.336,0.021,
51590.108154,14.341,0.021,
51592.102783,14.341,0.020,
51595.237061,14.311,0.016,
51596.096436,14.312,0.021,
51600.147705,14.231,0.020,
51605.079102,14.178,0.020,
51608.090820,14.148,0.022,
51615.076660,14.047,0.022,
51618.087891,14.034,0.020,
51621.054688,14.023,0.019,
51622.052246,14.023,0.019,
51628.060791,14.021,0.020,
51633.050781,14.021,0.021,
51640.051758,14.017,0.018,
51644.041748,14.002,0.018,
51653.059570,13.922,0.015,
51656.057617,13.902,0.020,
51659.029053,13.863,0.021,
51664.014160,13.818,0.020,
51711.436035,13.820,0.013,
51730.418945,13.777,0.025,
51745.328857,13.793,0.017,
51749.353760,13.815,0.019,
51755.330078,13.792,0.011,
51759.344727,13.796,0.023,
51763.305176,13.785,0.018,
51766.336426,13.773,0.016,
51771.383545,13.772,0.015,
51774.376221,13.760,0.021,
51779.310059,13.740,0.018,
51784.274414,13.712,0.027,
51786.267090,13.707,0.027,
51790.332031,13.681,0.022,
51791.286621,13.685,0.023,
51794.348145,13.682,0.022,
51804.321533,13.680,0.020,
51809.338379,13.639,0.024,
51811.316895,13.619,0.024,
51813.312988,13.602,0.024,
51815.295410,13.585,0.026,
51818.282227,13.567,0.027,
51820.198730,13.551,0.014,
51822.210205,13.558,0.023,
51824.207520,13.546,0.028,
51826.242188,13.534,0.017,
51828.218506,13.520,0.022,
51830.301270,13.502,0.020,
51833.295898,13.482,0.021,
51838.304199,13.499,0.027,
51842.345703,13.535,0.023,
51844.271484,13.551,0.025,
51847.297363,13.576,0.019,
51851.130859,13.613,0.021,
51851.347168,13.608,0.026,
51856.145508,13.609,0.018,
51861.206055,13.606,0.020,
51864.137451,13.578,0.027,
51866.150635,13.586,0.025,
51868.144531,13.567,0.023,
51870.159424,13.552,0.021,
51872.196777,13.535,0.022,
51874.140137,13.527,0.022,
51878.169434,13.502,0.026,
51880.153809,13.501,0.026,
51882.158691,13.509,0.025,
51884.168945,13.504,0.024,
51886.162598,13.511,0.020,
51887.160156,13.500,0.020,
51888.173828,13.492,0.021,
51889.144531,13.489,0.020,
51891.161377,13.501,0.013,
51892.342285,13.508,0.019,
51893.180664,13.509,0.016,
51894.335938,13.518,0.019,
51896.297363,13.532,0.024,
51898.109863,13.555,0.022,
51900.263184,13.584,0.022,
51902.119629,13.619,0.021,
51904.258545,13.633,0.022,
51906.332031,13.643,0.022,
51909.275879,13.687,0.023,
51911.270508,13.713,0.025,
51913.205811,13.721,0.023,
51916.086914,13.735,0.018,
51917.318359,13.729,0.017,
51919.196777,13.725,0.019,
51922.334473,13.693,0.017,
51923.168457,13.687,0.019,
51925.226562,13.660,0.022,
51927.246582,13.658,0.020,
51929.180176,13.656,0.025,
51931.149414,13.661,0.022,
51933.249512,13.670,0.024,
51935.185547,13.662,0.021,
51937.191895,13.660,0.022,
51938.178711,13.655,0.019,
51939.114746,13.658,0.022,
51940.090820,13.651,0.022,
51941.117432,13.652,0.022,
51943.292480,13.645,0.018,
51945.246582,13.644,0.018,
51946.265625,13.638,0.013,
51947.269043,13.634,0.015,
51948.268066,13.658,0.016,
51951.222168,13.658,0.017,
51953.207520,13.662,0.018,
51955.178711,13.655,0.022,
51957.168945,13.648,0.021,
51959.146973,13.635,0.022,
51962.232422,13.606,0.021,
51965.101074,13.613,0.024,
51968.133789,13.614,0.024,
51970.102295,13.616,0.025,
51973.104492,13.627,0.019,
51976.102051,13.657,0.019,
51979.107178,13.682,0.019,
51981.090576,13.699,0.022,
51987.091064,13.750,0.020,
51993.071777,13.788,0.022,
51998.044922,13.771,0.016,
52001.082031,13.751,0.021,
52007.042480,13.744,0.016,
52009.015137,13.749,0.020,
52014.043945,13.718,0.018,
52017.058594,13.715,0.020,
52027.057617,13.678,0.014,
52031.013672,13.663,0.018,
52038.041016,13.667,0.015,
52048.981445,13.712,0.017,
52055.960449,13.740,0.018,
52081.421387,13.593,0.019,
52093.428711,13.621,0.020,
52127.327148,13.639,0.012,
52130.327148,13.596,0.019,
52133.431641,13.575,0.018,
52140.330566,13.545,0.024,
52144.301758,13.594,0.024,
52155.286133,13.787,0.012,
52162.250977,14.005,0.021,
52167.294434,14.196,0.020,
52169.288086,14.268,0.015,
52172.284180,14.417,0.023,
52174.279297,14.525,0.019,
52178.204102,14.783,0.019,
52183.264648,15.202,0.019,
52184.251953,15.305,0.018,
52185.176758,15.409,0.020,
52187.265625,15.638,0.018,
52190.244141,16.029,0.020,
52191.235352,16.178,0.023,
52193.265137,16.469,0.022,
52195.214844,16.733,0.026,
52198.333984,17.332,0.035,
52200.277344,17.761,0.055,
52202.185547,18.281,0.077,
52203.288086,18.659,0.093,
52206.309570,19.461,0.472,
52207.294922,19.552,0.496,
52214.105469,19.952,0.772,
52216.127441,19.844,0.482,
52217.331543,20.537,0.978,
52218.345215,20.228,0.898,
52223.108398,20.085,0.547,
52224.275879,20.576,1.399,
52229.122070,19.801,0.779,
52234.130859,19.642,0.417,
52236.067871,20.068,0.820,
52240.104492,20.554,1.366,
52243.128418,20.081,0.495,
52243.345703,19.757,0.338,
52251.160156,19.706,0.472,
52261.109375,20.809,1.443,
52263.264648,20.654,0.932,
52268.303711,20.343,1.458,
52270.129883,20.377,0.854,
52280.246094,20.580,1.317,
