mjd,mag,magerr,clrcoeff
5261.55558,14.345,0.005,
5261.57982,14.350,0.005,
5262.57301,14.441,0.005,
5262.59135,14.446,0.005,
5264.53953,14.252,0.005,
5264.55446,14.249,0.005,
5265.53441,14.366,0.005,
5266.53621,14.455,0.005,
5266.55185,14.457,0.005,
5267.53498,14.534,0.005,
5268.54682,14.266,0.005,
5269.51899,14.380,0.005,
5271.52772,14.545,0.005,
5273.51694,14.410,0.005,
5274.54816,14.482,0.005,
5275.54654,14.492,0.005,
5277.54258,14.429,0.005,
5280.52887,14.343,0.005,
5281.55093,14.443,0.005,
5282.50930,14.518,0.005,
5283.52346,14.255,0.005,
5284.52905,14.358,0.005,
5285.52929,14.456,0.005,
5286.50382,14.537,0.005,
5288.52193,14.378,0.005,
5291.51408,14.295,0.005,
5294.52366,14.496,0.005,
5296.55315,14.429,0.005,
5298.53762,14.359,0.005,
5301.49778,14.520,0.005,
5306.47700,14.261,0.005,
5309.52165,14.543,0.005,
5312.49293,14.485,0.005,
5314.48736,14.325,0.005,
5324.46824,14.536,0.005,
5328.46731,14.545,0.005,
5337.46353,14.358,0.005,
5341.46197,14.370,0.005,
5343.46439,14.539,0.005,
5430.86886,14.541,0.005,
5439.87734,14.322,0.005,
5449.89592,14.542,0.005,
5451.90495,14.389,0.005,
5454.86089,14.292,0.005,
5457.86899,14.450,0.005,
5462.83796,14.345,0.005,
5468.79398,14.538,0.005,
5469.84604,14.269,0.005,
5476.76093,14.516,0.005,
5480.77521,14.374,0.005,
5482.75096,14.440,0.005,
5483.72733,14.518,0.005,
5484.88859,14.259,0.005,
5485.76954,14.365,0.005,
5486.84771,14.471,0.005,
5488.72622,14.265,0.005,
5489.74737,14.382,0.005,
5490.83724,14.477,0.005,
5492.75711,14.288,0.005,
5493.77946,14.403,0.005,
5494.82417,14.487,0.005,
5495.78128,14.497,0.005,
5496.77914,14.320,0.005,
5497.80933,14.432,0.005,
5499.71628,14.405,0.005,
5502.78643,14.514,0.005,
5503.74166,14.255,0.005,
5505.71134,14.461,0.005,
5506.72825,14.566,0.005,
5507.74695,14.349,0.005,
5509.65536,14.674,0.005,
5509.74332,14.683,0.005,
5509.84878,14.701,0.005,
5510.71126,14.812,0.005,
5510.77841,14.822,0.005,
5510.84842,14.827,0.005,
5511.68680,14.748,0.005,
5511.78469,14.763,0.005,
5511.84676,14.773,0.005,
5512.73051,14.890,0.005,
5512.79763,14.890,0.005,
5512.86642,14.908,0.005,
5513.70077,14.991,0.005,
5513.80598,14.986,0.005,
5513.85990,14.989,0.005,
5514.73330,15.051,0.005,
5514.79947,15.059,0.005,
5514.86551,15.059,0.005,
5515.65056,14.987,0.005,
5515.76925,14.991,0.005,
5515.85868,14.983,0.005,
5516.73610,14.939,0.005,
5516.80251,14.958,0.005,
5516.86934,14.961,0.005,
5517.64850,14.934,0.005,
5517.76360,14.939,0.005,
5517.85012,14.943,0.005,
5518.74565,14.804,0.005,
5518.82568,14.766,0.005,
5519.66916,14.677,0.005,
5519.78558,14.674,0.005,
5519.86585,14.663,0.005,
5521.68889,14.662,0.005,
