mjd,mag,magerr,clrcoeff
5275.53135,15.434,0.004,
5286.48872,15.516,0.004,
5446.88559,14.955,0.004,
5459.81913,15.355,0.004,
5476.80547,15.406,0.004,
5485.73929,15.219,0.004,
5492.79119,15.068,0.004,
5493.81367,15.330,0.004,
5494.79021,15.472,0.004,
5495.74734,15.460,0.004,
5497.84337,15.381,0.004,
5499.75060,15.183,0.004,
5502.84169,15.514,0.004,
5503.77904,14.920,0.004,
5505.74573,15.426,0.004,
5507.78118,15.095,0.004,
5509.65280,15.672,0.004,
5509.74736,15.681,0.004,
5509.84620,15.698,0.004,
5510.70811,15.842,0.004,
5510.78135,15.845,0.004,
5510.85128,15.842,0.004,
5511.68374,15.643,0.004,
5511.79146,15.674,0.004,
5511.84934,15.706,0.004,
5512.72775,15.916,0.004,
5512.80031,15.912,0.004,
5512.86896,15.938,0.004,
5513.69773,16.056,0.004,
5513.80874,16.073,0.004,
5513.86705,16.093,0.005,
5514.73042,16.101,0.004,
5514.80256,16.120,0.004,
5514.86820,16.100,0.005,
5515.64709,16.012,0.004,
5515.77173,15.996,0.004,
5515.77969,16.014,0.004,
5515.86126,16.010,0.004,
5516.73316,15.988,0.004,
5516.80509,16.001,0.004,
5517.64583,15.986,0.004,
5517.76615,15.991,0.004,
5517.86444,16.009,0.004,
5519.78299,15.602,0.004,
5519.86839,15.626,0.005,
5521.68594,15.658,0.004,
5521.75395,15.663,0.004,
5521.86109,15.656,0.004,
5522.70971,15.073,0.004,
5522.75081,15.037,0.004,
5522.81817,15.029,0.004,
5522.85660,15.047,0.004,
5523.67516,15.263,0.004,
5523.74618,15.278,0.004,
5523.85053,15.295,0.004,
5524.68494,15.427,0.004,
5524.75614,15.422,0.004,
5524.85978,15.439,0.004,
5525.68807,15.518,0.004,
5525.77364,15.523,0.004,
5525.85944,15.539,0.004,
5526.66774,14.951,0.004,
5526.75960,14.984,0.004,
5526.85974,15.021,0.004,
5527.65271,15.265,0.004,
5527.75023,15.277,0.004,
5527.86190,15.320,0.004,
5528.66025,15.429,0.004,
5528.76380,15.436,0.004,
5528.85749,15.451,0.004,
5529.64068,15.534,0.004,
5529.76010,15.527,0.004,
5529.85291,15.498,0.004,
5530.71880,15.048,0.004,
5531.80187,15.338,0.004,
5532.71086,15.447,0.004,
5533.73077,15.448,0.004,
5534.76418,15.130,0.004,
5535.69846,15.359,0.004,
5536.74353,15.479,0.004,
5539.75230,15.395,0.004,
5546.71932,15.284,0.004,
5547.77838,15.451,0.004,
5548.75017,15.530,0.004,
5549.77031,15.071,0.004,
5550.79240,15.338,0.004,
5553.66953,15.117,0.004,
5556.71085,15.182,0.004,
5557.69279,15.182,0.004,
5558.69232,15.385,0.004,
5559.73567,15.502,0.004,
5560.70248,14.936,0.004,
5561.63697,15.207,0.004,
5562.75951,15.420,0.004,
5563.68902,15.531,0.004,
5565.69227,15.277,0.004,
5566.72510,15.435,0.004,
5577.70258,15.392,0.004,
5582.71341,15.520,0.004,
5589.66168,15.464,0.004,
5595.65883,15.172,0.004,
5596.65243,15.386,0.004,
5598.63402,14.954,0.004,
5614.59913,15.164,0.004,
5619.59180,15.412,0.004,
5622.59056,15.261,0.004,
5623.55325,15.419,0.004,
5625.54647,15.008,0.004,
5627.61640,15.454,0.004,
5629.55642,15.082,0.004,
5633.54233,15.155,0.004,
5647.53815,15.507,0.004,
5650.53382,15.470,0.004,
5652.53529,15.147,0.004,
5656.50318,15.202,0.004,
5659.53280,14.933,0.004,
5670.48627,15.377,0.004,
5674.51159,15.018,0.004,
5679.50194,15.251,0.004,
5685.49554,15.498,0.004,
5693.45810,15.103,0.004,
5822.80876,15.845,0.004,
5822.86022,15.841,0.004,
5822.90591,15.869,0.004,
5823.75160,16.010,0.004,
5823.81617,16.030,0.004,
5823.88357,16.048,0.004,
5824.80561,16.095,0.004,
5824.85710,16.115,0.004,
5824.89663,16.115,0.004,
5825.74320,16.121,0.004,
5825.79370,16.128,0.004,
5825.84773,16.123,0.004,
5825.90032,16.118,0.004,
5826.72413,15.882,0.004,
5826.78520,15.879,0.004,
5826.84223,15.884,0.004,
5826.90040,15.891,0.004,
5827.71201,15.867,0.004,
5827.77735,15.862,0.004,
5827.83626,15.865,0.004,
5827.89876,15.852,0.004,
5828.71267,15.835,0.004,
5828.79804,15.842,0.004,
5828.84897,15.828,0.004,
5828.89898,15.836,0.004,
5829.71857,15.809,0.004,
5829.76957,15.785,0.004,
5829.83518,15.782,0.004,
5829.89774,15.747,0.004,
5830.76548,15.349,0.004,
5830.82659,15.367,0.004,
5830.89622,15.383,0.004,
5843.87276,15.442,0.004,
5854.77937,15.380,0.004,
5863.74288,15.535,0.004,
5867.75986,15.513,0.004,
5874.82068,15.506,0.004,
5875.72793,15.083,0.004,
5880.79594,15.272,0.004,
5883.78598,15.037,0.004,
5886.75202,15.501,0.004,
5892.76660,15.382,0.004,
5897.75543,15.515,0.004,
5910.72204,15.152,0.004,
5924.71867,15.493,0.004,
5931.68676,15.485,0.004,
5932.68243,15.068,0.004,
5940.71113,15.028,0.004,
5952.72288,15.209,0.004,
5961.66176,15.439,0.004,
5964.64823,15.337,0.004,
5969.64206,15.496,0.004,
5970.61816,15.130,0.004,
5972.69523,15.404,0.004,
6003.53346,15.499,0.004,
6004.56437,15.511,0.004,
6005.61416,15.227,0.004,
6006.52857,15.516,0.004,
6007.51279,15.706,0.004,
6007.61095,15.716,0.004,
6008.53936,15.396,0.004,
6009.49115,15.404,0.004,
6009.57482,15.427,0.004,
6010.48940,15.705,0.004,
6010.58708,15.732,0.004,
6011.48490,15.833,0.004,
6011.62090,15.839,0.004,
6012.53114,15.105,0.004,
6012.60768,15.086,0.004,
6013.56841,15.435,0.004,
6013.60230,15.454,0.004,
6014.60367,15.632,0.004,
6015.58475,15.658,0.004,
6016.58489,15.032,0.004,
6020.54216,15.043,0.004,
6194.89652,14.929,0.004,
6225.80190,15.123,0.004,
6226.84284,15.369,0.004,
6317.64602,15.522,0.004,
6344.60655,15.378,0.004,
6600.73215,15.420,0.004,
6997.78751,15.399,0.004,
7007.74047,15.044,0.004,
7137.48379,15.233,0.004,
7332.73388,15.477,0.004,
7366.71127,15.614,0.004,
