mjd,mag,magerr,clrcoeff
58198.37652,17.737,0.029,0.103
58216.25086,17.639,0.025,0.108
58216.25132,17.617,0.027,0.113
58217.27633,17.579,0.026,0.109
58217.29275,17.662,0.027,0.111
58217.2932,17.699,0.025,0.108
58217.29366,17.626,0.027,0.112
58217.29412,17.617,0.024,0.098
58217.29601,17.638,0.027,0.112
58217.29647,17.658,0.025,0.101
58217.31384,17.696,0.025,0.095
58217.3143,17.643,0.027,0.11
58217.31705,17.624,0.027,0.113
58217.35863,17.639,0.027,0.106
58218.21585,17.584,0.026,0.11
58218.25,17.619,0.027,0.108
58218.25424,17.63,0.027,0.106
58218.2547,17.68,0.025,0.104
58218.29063,17.626,0.027,0.113
58218.29155,17.649,0.027,0.109
58218.29201,17.649,0.025,0.108
58218.29756,17.651,0.025,0.11
58218.31469,17.643,0.027,0.109
58218.31561,17.623,0.027,0.112
58218.35611,17.682,0.028,0.112
58218.35946,17.626,0.027,0.12
58219.22361,17.642,0.025,0.104
58219.22406,17.659,0.027,0.112
58219.23509,17.66,0.025,0.11
58219.23556,17.609,0.026,0.109
58219.27237,17.664,0.025,0.109
58219.27283,17.632,0.027,0.113
58219.27567,17.561,0.026,0.11
58219.27658,17.633,0.027,0.119
58219.33788,17.579,0.026,0.112
58219.36054,17.632,0.027,0.119
58221.25163,17.562,0.026,0.114
58221.27021,17.572,0.024,0.121
58221.27112,17.553,0.023,0.114
58221.27159,17.473,0.024,0.117
58221.27611,17.54,0.023,0.117
58221.27802,17.522,0.025,0.13
58222.27234,17.526,0.025,0.116
58222.27329,17.564,0.024,0.113
58222.27522,17.561,0.026,0.114
58222.27614,17.566,0.026,0.112
58222.27659,17.55,0.023,0.113
58222.29594,17.542,0.025,0.11
58222.33541,17.617,0.027,0.116
58224.24501,17.565,0.026,0.114
58224.24546,17.631,0.024,0.11
58224.25575,17.668,0.027,0.113
58224.25668,17.652,0.027,0.109
58224.25713,17.617,0.024,0.111
58224.25809,17.58,0.026,0.112
58224.25854,17.618,0.024,0.11
58224.29268,17.707,0.026,0.111
58224.29361,17.664,0.025,0.115
58224.29406,17.593,0.026,0.114
58224.29742,17.61,0.027,0.118
58226.26909,17.565,0.026,0.113
58226.26955,17.635,0.024,0.109
58226.27002,17.603,0.026,0.111
58226.28304,17.584,0.026,0.115
58226.30833,17.606,0.026,0.105
58226.33424,17.608,0.026,0.11
58227.26331,17.594,0.026,0.12
58227.26426,17.584,0.024,0.113
58227.26518,17.61,0.024,0.114
58227.26564,17.612,0.027,0.119
58227.26655,17.641,0.027,0.117
58227.28375,17.638,0.027,0.117
58230.24827,17.652,0.027,0.09
58230.24873,17.625,0.024,0.105
58230.24964,17.659,0.025,0.1
58230.26311,17.625,0.027,0.112
58230.26411,17.618,0.027,0.107
58230.26508,17.59,0.026,0.105
58231.18721,17.649,0.027,0.109
58231.18766,17.588,0.024,0.1
58231.28291,17.627,0.024,0.11
58231.28386,17.516,0.025,0.115
58231.32157,17.565,0.026,0.118
58231.32249,17.597,0.026,0.114
58231.34738,17.573,0.026,0.108
58233.18471,17.554,0.026,0.111
58233.199,17.656,0.027,0.113
58233.19946,17.609,0.024,0.111
58233.19991,17.593,0.026,0.108
58233.20037,17.666,0.025,0.105
