mjd,mag,magerr,clrcoeff
58218.49015,20.869,0.191,0.092
58219.50443,20.850,0.189,0.101
58246.44714,20.277,0.138,0.102
58247.46423,20.385,0.148,0.099
58254.46555,20.196,0.130,0.101
58255.46704,20.120,0.123,0.075
58256.42703,20.063,0.118,0.08
58256.46825,20.295,0.139,0.081
58257.42364,20.085,0.120,0.099
58257.47025,20.123,0.123,0.1
58258.45177,20.075,0.119,0.099
58263.41416,19.842,0.100,0.107
58266.35983,19.785,0.096,0.093
58268.45328,19.710,0.091,0.098
58269.40883,19.755,0.094,0.074
58270.42904,19.690,0.090,0.095
58271.42912,19.803,0.094,0.105
58271.42958,19.512,0.077,0.106
58271.45135,19.482,0.077,0.096
58272.46610,19.572,0.082,0.097
58273.42340,19.430,0.074,0.096
58274.46869,19.450,0.075,0.097
58275.42723,19.451,0.075,0.082
58277.43267,19.313,0.068,0.101
58278.44758,19.284,0.067,0.098
58279.40894,19.239,0.065,0.093
58280.36987,19.185,0.062,0.076
58281.46935,19.015,0.055,0.099
58282.45137,18.988,0.054,0.101
58283.38878,18.924,0.052,0.096
58285.40920,18.822,0.048,0.099
58286.47893,18.917,0.052,0.098
58287.46742,18.807,0.048,0.093
58288.45374,18.794,0.047,0.085
58289.45128,18.807,0.048,0.099
58290.47324,18.867,0.050,0.093
58291.47446,18.800,0.048,0.1
58292.46926,18.829,0.049,0.093
58293.32279,18.896,0.051,0.083
58294.46905,18.978,0.054,0.098
58296.36653,19.038,0.056,0.089
58298.42455,19.061,0.057,0.112
58299.41241,19.216,0.064,0.106
58300.43158,19.246,0.065,0.101
58301.42092,19.329,0.067,0.113
58301.42137,19.350,0.068,0.11
58301.45165,19.299,0.067,0.104
58302.36924,19.432,0.074,0.121
58303.36233,19.411,0.073,0.094
58304.38414,19.477,0.077,0.092
58305.40680,19.393,0.072,0.093
58307.41295,19.615,0.085,0.098
58310.40544,19.708,0.091,0.112
58312.43060,19.777,0.096,0.091
58313.41622,19.751,0.094,0.098
58314.43526,19.793,0.097,0.095
58315.36376,19.945,0.108,0.089
58316.44646,19.941,0.108,0.088
58318.36469,19.970,0.110,0.094
58319.45941,19.883,0.103,0.086
58320.39071,19.945,0.108,0.078
58321.46693,20.080,0.119,0.071
58322.38197,20.123,0.123,0.091
58323.47633,20.018,0.114,0.092
58324.47566,19.960,0.109,0.098
