mjd,mag,magerr,clrcoeff
58198.50246,14.339,0.016,0.08
58198.52428,14.321,0.016,0.076
58218.48627,14.274,0.016,0.1
58218.50709,14.306,0.016,0.084
58228.45316,14.268,0.016,0.093
58230.48015,14.293,0.016,0.082
58246.44317,14.246,0.016,0.105
58247.45719,14.245,0.016,0.089
58249.43969,14.219,0.016,0.115
58249.48013,14.194,0.016,0.129
58276.427,14.067,0.016,0.099
58277.41868,14.055,0.016,0.085
58279.40421,14.027,0.016,0.087
58283.38144,13.99,0.016,0.088
58284.34281,13.982,0.016,0.087
58285.38189,13.925,0.016,0.094
58286.34221,13.944,0.016,0.104
58289.33236,13.891,0.016,0.088
58291.32014,13.881,0.016,0.099
58292.3366,13.861,0.016,0.094
58293.31992,13.859,0.016,0.099
58294.32011,13.823,0.016,0.094
58295.30011,13.842,0.016,0.088
58298.31966,13.793,0.016,0.103
58304.36416,13.784,0.016,0.082
58305.38164,13.812,0.016,0.092
58307.38339,13.829,0.016,0.087
58311.38295,13.841,0.016,0.092
58313.38744,13.92,0.016,0.083
58318.34229,13.993,0.016,0.075
58319.27881,13.98,0.016,0.092
58320.35099,13.99,0.016,0.099
58321.35206,14.012,0.016,0.092
58322.36085,14.034,0.016,0.075
58329.34311,14.155,0.016,0.054
58334.34769,14.154,0.016,0.085
58336.23136,14.179,0.016,0.079
58337.33247,14.181,0.016,0.084
58341.33035,14.217,0.016,0.047
58342.32884,14.231,0.016,0.078
58343.32547,14.232,0.016,0.08
58345.32327,14.205,0.016,0.092
58348.21738,14.246,0.016,0.088
58349.29665,14.245,0.016,0.087
58350.36426,14.261,0.016,0.088
58351.23304,14.243,0.016,0.078
58353.30988,14.276,0.016,0.073
58354.25744,14.256,0.016,0.09
58354.37484,14.203,0.016,0.106
58356.19434,14.257,0.016,0.088
58356.29316,14.282,0.016,0.086
58357.27471,14.265,0.016,0.086
58359.2548,14.27,0.016,0.074
58360.27766,14.291,0.016,0.087
58361.2353,14.265,0.016,0.095
58362.1906,14.286,0.016,0.091
58363.23586,14.273,0.016,0.092
58364.19163,14.256,0.016,0.092
58365.17247,14.254,0.016,0.103
58367.17136,14.281,0.016,0.095
58368.172,14.282,0.016,0.102
58369.17185,14.294,0.016,0.084
58370.25667,14.32,0.016,0.076
58371.17123,14.295,0.016,0.102
58373.17332,14.303,0.016,0.088
58374.17318,14.318,0.016,0.084
58375.1731,14.281,0.016,0.092
58376.17069,14.295,0.016,0.102
58377.17014,14.271,0.016,0.1
58378.21392,14.337,0.016,0.075
58379.21288,14.332,0.016,0.084
58383.15127,14.292,0.016,0.096
58384.1496,14.302,0.016,0.077
58385.21109,14.319,0.016,0.084
58386.23094,14.304,0.016,0.09
58387.15144,14.308,0.016,0.078
58389.22963,14.292,0.016,0.094
58425.08505,14.333,0.016,0.073
58427.10202,14.316,0.016,0.082
58428.10088,14.335,0.016,0.088
58430.08679,14.292,0.016,0.088
58431.12722,14.327,0.016,0.076
58433.07072,14.31,0.016,0.096
58456.0682,14.32,0.016,0.091
58457.06667,14.264,0.016,0.115
58457.07157,14.272,0.016,0.113
58457.07646,14.262,0.016,0.121
58461.06641,14.348,0.016,0.07
58461.07125,14.389,0.016,0.076
58461.07609,14.351,0.016,0.068
58461.08091,14.367,0.016,0.076
58465.0654,14.272,0.016,0.107
58465.07033,14.315,0.016,0.098
58465.07525,14.301,0.016,0.092
58465.08018,14.313,0.016,0.091
58575.45973,14.338,0.016,0.093
58581.4464,14.324,0.016,0.106
58582.44041,14.318,0.016,0.102
58585.44148,14.299,0.016,0.102
58588.41898,14.309,0.016,0.091
58605.44352,14.296,0.016,0.084
58607.36126,14.312,0.016,0.108
58617.37706,14.348,0.016,0.081
58632.46652,14.32,0.016,0.087
58633.3429,14.322,0.016,0.082
58634.34147,14.301,0.016,0.097
58635.40018,14.294,0.016,0.096
58636.40649,14.315,0.016,0.086
58637.35604,14.289,0.016,0.1
58638.46757,14.323,0.016,0.089
58639.4045,14.326,0.016,0.084
58641.46562,14.31,0.016,0.079
58642.44427,14.334,0.016,0.084
58643.30315,14.315,0.016,0.099
58644.32381,14.324,0.016,0.089
58645.47658,14.348,0.016,0.082
58646.3149,14.353,0.016,0.071
58647.29898,14.33,0.016,0.098
58648.47982,14.342,0.016,0.083
58649.31732,14.331,0.016,0.09
58650.34137,14.342,0.016,0.073
58651.34865,14.32,0.016,0.091
58652.34001,14.301,0.016,0.079
58654.36165,14.323,0.016,0.093
58658.38637,14.332,0.016,0.076
58666.34801,14.33,0.016,0.073
58667.3063,14.327,0.016,0.084
58668.34149,14.331,0.016,0.089
58669.40702,14.343,0.016,0.081
58670.38686,14.319,0.016,0.097
58674.3046,14.33,0.016,0.086
58675.29425,14.311,0.016,0.085
58676.28169,14.308,0.016,0.087
58677.26115,14.329,0.016,0.083
58680.299,14.329,0.016,0.097
58686.31744,14.303,0.016,0.099
58690.34277,14.334,0.016,0.088
58693.23388,14.324,0.016,0.089
58696.35903,14.326,0.016,0.09
58700.38484,14.303,0.016,0.084
58707.17838,14.288,0.016,0.072
58715.32412,14.353,0.016,0.085
58718.33573,14.335,0.016,0.096
58724.15261,14.281,0.016,0.1
58734.33162,14.351,0.016,0.094
58740.2738,14.306,0.016,0.09
58749.27341,14.311,0.016,0.092
58760.12384,14.303,0.016,0.093
58767.10813,14.307,0.016,0.104
58770.20843,14.338,0.016,0.09
58779.1008,14.311,0.016,0.1
58782.12311,14.308,0.016,0.11
58785.09028,14.307,0.016,0.1
58792.1232,14.325,0.016,0.091
