mjd,mag,mage,clcoeff
58218.46996,14.623,0.019,0.092
58218.48454,14.599,0.019,0.097
58246.44345,15.234,0.019,0.117
58247.46374,15.319,0.019,0.104
58256.46146,15.732,0.019,0.087
58261.48594,16.094,0.02,0.101
58263.37986,16.238,0.02,0.124
58268.42442,16.756,0.022,0.085
58273.38262,16.815,0.022,0.082
58275.40357,16.857,0.022,0.088
58276.42561,16.817,0.022,0.103
58277.42051,16.87,0.022,0.095
58284.34034,16.874,0.022,0.081
58288.29923,16.868,0.022,0.084
58289.33123,16.769,0.022,0.112
58291.33956,16.801,0.022,0.088
58292.32001,16.736,0.022,0.091
58293.31968,16.722,0.022,0.083
58295.29891,16.702,0.022,0.075
58303.34022,16.212,0.02,0.093
58304.3628,16.077,0.02,0.094
58305.3816,15.965,0.02,0.1
58307.36331,15.822,0.02,0.092
58320.25818,15.044,0.019,0.1
58321.27931,15.076,0.019,0.091
58336.23301,14.706,0.019,0.091
58337.33136,14.712,0.019,0.092
58340.30216,14.699,0.019,0.095
58345.31753,14.66,0.04,
58345.32201,14.613,0.019,0.093
58357.18873,14.68,0.04,
58357.19236,14.643,0.019,0.1
58359.25022,14.61,0.04,
58359.25369,14.615,0.019,0.085
58361.25082,14.64,0.04,
58361.25412,14.587,0.019,0.094
58365.16829,14.54,0.03,
58365.17126,14.488,0.019,0.091
58368.1676,14.46,0.03,
58368.17032,14.426,0.019,0.095
58369.16969,14.502,0.019,0.092
58373.14854,14.419,0.019,0.093
58582.46047,14.226,0.019,0.093
58588.41788,14.204,0.019,0.098
58593.42168,14.128,0.019,0.111
58605.42182,13.944,0.019,0.096
58607.36111,13.911,0.019,0.1
58608.48619,13.885,0.019,0.099
58634.33464,14.62,0.04,
58634.33974,14.551,0.019,0.097
58635.37675,14.72,0.04,
58635.3819,14.628,0.019,0.097
58636.40047,14.68,0.04,
58636.40568,14.657,0.019,0.101
58640.28159,14.985,0.019,0.102
58643.29714,17.67,0.42,
58643.30264,15.282,0.019,0.1
58644.29442,15.34,0.05,
58644.29996,15.339,0.019,0.102
58648.27532,15.74,0.02,0.115
58649.29894,15.843,0.02,0.101
58650.34035,15.963,0.02,0.084
58654.38391,16.336,0.02,0.114
58657.38264,16.755,0.022,0.101
58667.29949,17.79,0.46,
58670.38001,18.02,0.55,
58674.29858,18.38,0.80,
58676.27431,18.14,0.69,
58681.29326,18.79,1.18,
58690.35854,17.55,0.38,
58696.33667,18.56,1.03,
58699.33344,18.14,0.66,
58718.33176,17.51,0.36,
58722.30537,17.65,0.37,
58725.23207,18.56,0.94,
58748.13233,18.16,0.62,
