mjd,mag,magerr,clrcoeff
58216.51105,19.385,0.067,0.12
58217.48532,19.285,0.063,0.081
58218.4698,19.222,0.061,0.107
58218.48629,19.446,0.069,0.096
58226.45801,19.244,0.062,0.099
58226.48444,19.197,0.06,0.106
58230.45759,19.253,0.062,0.112
58244.48168,19.344,0.065,0.107
58246.44382,19.256,0.062,0.113
58247.45691,19.223,0.061,0.098
58266.37913,19.363,0.066,0.081
58268.4256,19.363,0.066,0.097
58269.42064,19.295,0.063,0.061
58270.4073,19.243,0.062,0.081
58271.38895,19.407,0.068,0.099
58273.38473,19.236,0.061,0.089
58285.3821,19.204,0.06,0.118
58286.34239,19.147,0.058,0.088
58287.33827,19.251,0.062,0.094
58288.33791,19.221,0.061,0.106
58289.33251,19.269,0.062,0.12
58290.38058,19.273,0.063,0.064
58291.32028,19.231,0.061,0.09
58292.33581,19.153,0.058,0.103
58293.32003,19.26,0.062,0.088
58294.32022,19.358,0.066,0.091
58295.3002,19.205,0.06,0.09
58296.32119,19.244,0.062,0.095
58297.31857,19.384,0.067,0.096
58303.34067,19.192,0.06,0.091
58304.32139,19.226,0.061,0.067
58307.36384,19.295,0.063,0.068
58310.3887,19.241,0.061,0.101
58311.38517,19.175,0.059,0.075
58313.38782,19.117,0.057,0.101
58314.4213,19.163,0.059,0.087
58315.34022,19.241,0.061,0.057
58317.4068,19.101,0.057,0.081
58318.34355,19.241,0.061,0.094
58319.27971,19.192,0.06,0.098
58320.36436,19.174,0.059,0.076
58321.35238,19.255,0.062,0.088
58322.36166,19.176,0.059,0.091
58323.2568,19.177,0.059,0.086
58324.23575,19.084,0.056,0.076
58326.31769,19.094,0.057,0.08
58327.29726,19.106,0.057,0.076
58330.33972,19.057,0.055,0.12
58331.23428,19.061,0.055,0.095
58333.29166,19.014,0.054,0.097
58333.29212,19.037,0.055,0.081
58333.29258,19.083,0.056,0.08
58333.29303,18.965,0.053,0.116
58333.29349,19.058,0.055,0.087
58333.29394,19.056,0.055,0.082
58333.2944,18.976,0.053,0.068
58333.29486,19.123,0.057,0.105
58333.29531,18.93,0.052,0.075
58333.29577,19.004,0.054,0.098
58333.29622,18.997,0.054,0.084
58333.29668,18.991,0.053,0.098
58333.29714,19.021,0.054,0.084
58333.2976,18.962,0.053,0.071
58333.29805,19.034,0.055,0.094
58333.29851,19.032,0.055,0.089
58333.29896,19.05,0.055,0.098
58333.29943,19.013,0.054,0.097
58333.29988,19.141,0.058,0.064
58333.30034,19.145,0.058,0.055
58333.30079,18.983,0.053,0.105
58333.30124,19.048,0.055,0.087
58333.30171,19.059,0.055,0.076
58333.30216,19.075,0.056,0.102
58333.30262,19.111,0.057,0.08
58333.30307,19.039,0.055,0.088
58333.30352,18.958,0.052,0.087
58333.30399,19.014,0.054,0.093
58333.30444,18.994,0.054,0.101
58333.3049,19.053,0.055,0.103
58333.30535,19.048,0.055,0.068
58333.30582,19.083,0.056,0.073
58333.30627,19.145,0.058,0.08
58333.30673,19.045,0.055,0.093
58333.30718,18.993,0.053,0.091
58333.30763,18.954,0.052,0.078
58333.3081,19.13,0.058,0.086
58333.30856,19.048,0.055,0.079
58333.30901,19.045,0.055,0.086
58333.30947,18.996,0.054,0.101
58333.30992,19.038,0.055,0.071
58333.31038,19.011,0.054,0.069
58334.19521,19.081,0.056,0.095
58334.19613,19.001,0.054,0.1
58334.19706,19.032,0.055,0.105
58334.19797,19.016,0.054,0.09
58334.1989,19.105,0.057,0.089
58334.19982,19.118,0.057,0.078
58334.20074,19.066,0.056,0.094
58334.20167,19.018,0.054,0.084
58334.20259,18.99,0.053,0.098
58334.20352,19.011,0.054,0.109
58334.20443,18.983,0.053,0.095
58334.20536,19.071,0.056,0.089
58334.20628,19.128,0.058,0.087
58334.20721,19.126,0.058,0.107
58334.20813,19.007,0.054,0.101
58334.20905,19.08,0.056,0.057
58334.20997,19.006,0.054,0.117
