mjd,mag,magerr,clrcoeff
58344.47541,18.666,0.044,0.087
58347.45014,18.802,0.048,0.079
58350.48476,18.764,0.047,0.08
58353.44656,18.786,0.048,0.082
58356.44306,18.712,0.045,0.085
58359.45327,18.633,0.043,0.086
58362.45456,18.735,0.046,0.077
58366.50233,18.655,0.044,0.083
58369.51864,18.663,0.044,0.089
58372.50491,18.68,0.044,0.08
58375.50382,18.729,0.046,0.077
58382.51852,18.759,0.047,0.088
58386.38352,18.596,0.042,0.09
58397.44344,18.738,0.046,0.076
58422.38546,18.697,0.045,0.081
58423.39741,18.677,0.044,0.081
58424.33128,18.667,0.044,0.07
58425.4267,18.73,0.046,0.079
58428.37455,18.635,0.043,0.084
58429.35591,18.777,0.048,0.08
58431.34941,18.613,0.042,0.091
58431.36392,18.566,0.041,0.08
58432.33712,18.648,0.043,0.09
58434.36301,18.643,0.043,0.081
58435.35337,18.668,0.044,0.084
58436.32455,18.646,0.043,0.082
58437.34095,18.733,0.046,0.085
58437.35751,18.7,0.045,0.083
58441.34072,18.71,0.045,0.083
58443.40611,18.78,0.048,0.077
58448.40378,18.721,0.046,0.077
58448.41713,18.536,0.04,0.086
58455.29419,17.719,0.024,0.085
58455.34464,17.685,0.024,0.08
58455.36113,17.051,0.017,0.084
58457.25458,17.398,0.02,0.065
58462.31158,17.293,0.019,0.073
58468.29337,16.901,0.016,0.08
58471.25912,16.722,0.015,0.091
58476.31347,18.003,0.028,0.083
58480.30064,18.218,0.033,0.082
58487.26733,18.399,0.037,0.087
58490.19811,18.355,0.036,0.081
58491.24948,18.491,0.039,0.083
58493.27292,18.518,0.04,0.08
58503.27453,17.971,0.028,0.077
58507.21761,18.38,0.036,0.091
58507.28854,18.415,0.037,0.082
58508.28588,18.38,0.036,0.087
58510.21649,18.633,0.043,0.075
58514.1488,18.465,0.038,0.08
58522.19335,18.58,0.041,0.084
58526.17779,18.535,0.04,0.08
58547.12914,18.491,0.039,0.081
58558.16452,18.471,0.038,0.089
58585.13502,18.776,0.048,0.083
58712.45608,18.621,0.043,0.091
58715.444,18.599,0.042,0.092
58718.49984,18.683,0.045,0.082
58724.49811,18.702,0.045,0.084
58727.50913,18.656,0.044,0.078
58732.49971,18.699,0.045,0.076
58735.50559,18.616,0.042,0.09
58741.47777,18.567,0.041,0.084
58744.46456,18.579,0.041,0.084
58756.50405,18.746,0.047,0.078
58759.50088,18.788,0.048,0.081
58766.50482,18.676,0.044,0.086
58769.44638,18.492,0.039,0.081
58772.38437,17.778,0.025,0.087
58776.44404,17.843,0.026,0.085
58779.33463,17.968,0.028,0.086
58785.48992,17.829,0.026,0.094
58788.33907,17.85,0.026,0.086
58791.47546,17.691,0.024,0.089
58798.335,17.625,0.023,0.086
58805.36459,18.003,0.028,0.085
58806.32406,18.169,0.032,0.086
58833.26708,18.588,0.042,0.083
58835.41817,18.659,0.044,0.089
58846.25883,18.378,0.036,0.078
