mjd,mag,magerr,clrcoeff
58303.4669,20.702,0.2,0.109
58312.40181,20.517,0.181,0.092
58312.41998,20.919,0.223,0.094
58312.4209,21.167,0.248,0.094
58312.45307,20.971,0.228,0.105
58316.34901,20.761,0.206,0.084
58316.46705,20.613,0.191,0.109
58318.36037,20.762,0.206,0.091
58319.35225,20.617,0.192,0.096
58319.45092,20.685,0.199,0.103
58319.46766,20.555,0.185,0.104
58320.37497,20.589,0.189,0.093
58320.38433,20.73,0.203,0.096
58321.47479,20.597,0.189,0.104
58321.47574,20.665,0.196,0.106
58322.37839,20.572,0.187,0.101
58322.40935,20.527,0.182,0.106
58322.48844,20.62,0.192,0.108
58324.46609,20.667,0.197,0.108
58324.46704,20.441,0.17,0.105
58325.49038,20.589,0.189,0.109
58326.38409,19.953,0.111,0.095
58327.43614,20.05,0.121,0.097
58328.37846,20.12,0.129,0.085
58328.40158,19.805,0.098,0.102
58328.43082,20.246,0.144,0.103
58329.36183,20.432,0.169,0.092
58329.48686,20.493,0.178,0.106
58330.39956,20.123,0.129,0.101
58330.43057,20.346,0.157,0.102
58330.43151,20.256,0.145,0.103
58333.49996,20.604,0.19,0.107
58336.40036,20.274,0.147,0.105
58343.47396,20.178,0.135,0.102
58346.40736,19.974,0.113,0.103
58347.40706,20.072,0.123,0.102
58347.42608,20.068,0.123,0.106
58348.41217,19.975,0.114,0.105
58348.43091,19.985,0.114,0.101
58349.34806,20.055,0.122,0.103
58349.46936,20.011,0.117,0.104
58349.47028,19.9,0.106,0.102
58349.48289,19.887,0.105,0.1
58350.39565,19.938,0.11,0.104
58350.40497,19.95,0.111,0.103
58351.36995,19.932,0.109,0.106
58351.38924,19.863,0.103,0.104
58351.48378,20.092,0.126,0.115
58352.32895,20.148,0.132,0.1
58352.47161,19.843,0.101,0.101
58352.47256,19.869,0.104,0.1
58352.4831,19.73,0.092,0.097
58353.41168,19.815,0.099,0.108
58353.43377,19.828,0.1,0.105
58353.45797,19.853,0.102,0.104
58353.47454,19.772,0.096,0.101
58353.49115,19.748,0.094,0.104
58353.5057,19.798,0.098,0.108
58354.34914,19.756,0.094,0.103
58354.43172,19.729,0.092,0.105
58354.4589,19.835,0.101,0.115
58354.47263,19.78,0.096,0.106
58354.49208,19.801,0.098,0.1
58355.34579,19.779,0.096,0.101
