-1,oid,tag,tag_detailed,Comments,
0,695211400034403,artefact,bright star,,
1,695211400124577,artefact,bright star,,
2,695211400102351,artefact,bright star,,
3,695211400053697,artefact,bright star,,
4,695211400000352,artefact,bright star,,
5,695211400088968,artefact,,,
6,695211400117334,artefact,bright star,,
7,695211400028274,artefact,bright star,,
8,695211400133827,artefact,,empty field fits,
9,695211400053352,artefact,bright star,Part of the Cl*; bright star nearby; Krush: слабая звезда рядом с яркой. Masha: probably real?,
10,695211400048384,artefact,,HII (ionized) region nearby,
11,695211200009221,artefact,bad column,,
12,695211200020939,artefact,bad column,,
13,695211100002984,artefact,plane/flying body,,
14,695211400132963,artefact,M31 center,,
15,695211400130264,artefact,M31 center,,
16,695211400134262,artefact,M31 center,,
17,695211400134258,artefact,M31 center,,
18,695211400134417,artefact,M31 center,,
19,695211400134778,artefact,M31 center,,
20,695211400134621,artefact,M31 center,,
21,695211200008801,artefact,bad column,,
22,695211200015230,artefact,bad column,,
23,695211200008024,artefact,bad column,,
24,695211200009492,artefact,bad column,,
25,695211200032218,artefact,bad column,,
26,695211400128515,artefact,,delta ~ 2 mag; bright star nearby; empty field fits; object in PS,
27,695211400123032,artefact,bright star,,
28,695211400128356,artefact,,empty field fits; near M31 center,
29,695211400101443,artefact,,empty field fits,
30,695211400134257,artefact,,empty field fits; nearby Nova event M31N 1926-07c,
31,695211400133656,artefact,,empty field fits; near M31 center,
32,695211400134643,artefact,,empty field fits; near M31 center,
33,695211400134038,artefact,M31 center,,
34,695211400133905,artefact,M31 center,,
35,695211400133964,artefact,,empty field fits; near M31 center,
36,695211400134208,artefact,,empty field fits; near M31 center,
37,695211400133292,artefact,,empty field fits; near M31 center,
38,695211400132782,artefact,,empty field fits; near M31 center,
39,695211200009296,artefact,bad column,,
40,695211200013685,artefact,bad column,,
41,695211200020898,artefact,bad column,,
42,695211200054816,artefact,bad column,,
43,695211200042829,artefact,bad column,,
44,695211200007026,artefact,bad column,,
45,695211200077003,artefact,bad column,,
46,695211200021087,artefact,bad column,,
47,695211400134715,artefact,M31 center,,
48,695211200023594,artefact,bad column,,
49,695211200015592,artefact,bad column,,
50,695211200010890,artefact,bad column,,
51,695211200018443,artefact,bad column,,
52,695211100020379,artefact,plane/flying body,,
53,695211100127578,artefact,defocus,"1-point transient (1 mag brighter); two (binary?) blue stars. Defocus/shift, wrong astrometry -> two close stars in one aperture",
54,695211100096377,artefact,defocus,"1-point transient (1 mag brighter); two (binary?) stars. Orbiting? Defocus, two close stars in one aperture",
55,695211100005490,artefact,plane/flying body,,
56,695211200000865,artefact,cosmic,"1-point transient (1 mag brighter). Periodicity at ""flat"" part. Re-do photometry",
57,695211100008614,artefact,plane/flying body,,
58,695211100011888,artefact,plane/flying body,,
59,695211100003209,artefact,plane/flying body,,
60,695211100002099,artefact,plane/flying body,,
61,695211400018326,artefact,defocus,"1-point transient (1 mag brighter). Periodicity at ""flat"" part. Re-do photometry",STRANGE ARTEFACT NEARBY
62,695211100020857,artefact,plane/flying body,,
63,695211100025106,artefact,plane/flying body,,
64,695211100021872,artefact,plane/flying body,,
65,695211300006502,artefact,bright star,яркая звезда на границе линейного диапазона ПЗС. иногда уходит в перекоп. иногда нет,
66,695211200082131,artefact,cosmic,1-point transient (2.5 mag brighter).,
67,695211100018408,artefact,plane/flying body,,
68,695211100131134,artefact,plane/flying body,STILL LOOKS UNKNOWN VARIABLE,
69,695211100080479,artefact,plane/flying body,,
70,695211100004663,artefact,plane/flying body,,
71,695211400010060,artefact,cosmic,1-point transient (2 mag brighter). Red star. Re-do photometry,
72,695211400088066,artefact,,empty field fits; near M31 center,
73,695211400134229,artefact,,empty field fits; near M31 center,
74,695211400008325,artefact,,"fast peaks, artefact? We see something on the images but does not correspond the automatic photometry",
75,695211200013613,artefact,bad column,,
76,695211400066438,artefact,ghost,,
77,695211200050499,artefact,bad column,,
78,695211200059173,artefact,defocus,"binary blue stars, companion is known. defocus/shift, two close stars in one aperture",
79,695211300004359,transient,PNV,,
80,695211300007276,Pulsating,Delta Cep,,
81,695211300006331,Eclipsing,EA,,
82,695211100131796,Var,,,
83,695211200046528,Pulsating,Delta Cep,,
84,695211100003383,Pulsating,RSG,,
85,695211200018901,Pulsating,RSG,,
86,695211100022045,transient,PNV,,
87,695211200058391,uncat,,,
88,695211200035023,uncat,,,
89,695211400009049,uncat,,,
90,695211400046832,uncat,,,
91,695211400027347,Var,,,
92,695211200022958,Pulsating,Delta Cep,,
93,695211200077906,uncat,,,
94,695211400025927,uncat,,,
95,695211200057718,uncat,,,
96,695211100015190,uncat,,,
97,695211200075348,Var,,,
98,695211400121607,Var,,,
99,695211400070144,Var,,,
100,695211200019653,Rotating,"MSINE, RSCVN",,
