,amplitude,beyond_1_std,beyond_2_std,cusum,eta,eta_e,inter_percentile_range_25,inter_percentile_range_10,kurtosis,linear_fit_slope,linear_fit_slope_sigma,linear_fit_reduced_chi2,linear_trend,linear_trend_sigma,magnitude_percentage_ratio_40_5,magnitude_percentage_ratio_20_10,maximum_slope,mean,median_absolute_deviation,median_buffer_range_percentage_5,percent_amplitude,percent_difference_magnitude_percentile_5,percent_difference_magnitude_percentile_20,period_0,period_s_to_n_0,period_1,period_s_to_n_1,period_2,period_s_to_n_2,periodogram_amplitude,periodogram_beyond_1_std,periodogram_beyond_2_std,periodogram_cusum,periodogram_eta,periodogram_inter_percentile_range_25,periodogram_standard_deviation,periodogram_percent_amplitude,chi2,skew,standard_deviation,stetson_K,weighted_mean
PCA1,0.27022046,0.008888423,-0.001590237,0.09156705,-0.078800246,-0.10247845,0.27389657,0.27825022,-0.017194938,-0.0734264,0.20055674,0.10238074,-0.05085419,0.27428198,-0.0025917948,0.00065600366,0.21937935,0.19822142,0.27397436,-0.13015147,0.25966722,0.27757952,0.27389413,0.077319175,-0.097056665,0.04889149,-0.1170701,0.043743435,-0.1301808,-0.03063891,-0.001514567,-0.0072107315,0.00744652,0.041709136,0.114543065,0.07761955,-0.031790283,0.10449155,-0.11569552,0.2815994,-0.04896391,0.19217615
PCA2,-6.0156653e-05,0.074330434,-0.0420617,0.23987983,-0.26778066,-0.113904,0.04013735,0.031886756,-0.044017404,-0.019774653,-0.04543014,0.036437795,-0.01703443,0.016898893,0.055345293,0.039365746,-0.0444413,-0.08920496,0.035938296,-0.03892772,0.0036652754,0.031585377,0.045495417,0.13827571,0.3103062,0.06374507,0.2909977,0.031177096,0.27852497,0.34647056,-0.27943516,-0.30060366,-0.007697739,-0.12106752,0.09913023,0.29634804,0.34621048,0.03785048,0.010692516,0.024446523,0.08478776,-0.09151871
PCA3,0.076352485,-0.32233652,0.040437877,0.009091854,-0.037840515,-0.032994963,-0.0627081,-0.036987428,0.24182004,-0.26489148,-0.26288828,0.34201998,-0.22490321,-0.029142864,-0.17774217,-0.15246163,-0.048858963,-0.24016698,-0.0699236,-0.2835035,0.1286993,0.025502428,-0.026695976,0.046158634,0.018960174,0.046037298,0.032094076,0.030678395,0.037760343,-0.021868264,0.076935396,0.05900136,0.11464256,0.06985237,0.01930529,-0.040776934,-0.022051886,0.3472733,-0.039459072,0.0066278144,-0.27218342,-0.24851625
PCA4,-0.053699244,0.32453388,-0.12699553,-0.10635727,0.15718003,0.16071808,0.08143823,0.040464014,-0.2119276,0.0060793385,-0.1267636,0.33397344,0.028747797,0.010875022,0.26772663,0.24417478,0.03503395,-0.15505476,0.073704205,-0.30140835,-0.069394045,0.042610984,0.105250366,-0.05742404,-0.015702939,-0.07949949,-0.00893112,-0.035512995,-0.0027806065,-0.03833484,0.012647823,0.037903897,-0.10126435,-0.080605574,-0.130911,-0.094906606,-0.03724126,0.33136928,0.112065546,0.015037259,0.39328775,-0.16019367
PCA5,0.114042275,-0.19060174,0.0017514229,-0.23573983,0.23147753,0.23532572,0.023915857,0.0319497,0.19142452,0.21224429,0.03211198,0.059270017,0.22862266,0.017291725,-0.089515425,-0.07549884,0.21069513,0.1442592,0.022709297,-0.07095211,0.118081525,0.03835592,0.025417557,-0.098281056,0.21177629,-0.115587965,0.21429552,-0.13635556,0.21004835,0.10183934,-0.06509459,-0.16783658,-0.26913315,-0.07491263,-0.37334114,-0.17758016,0.104772,0.055025138,0.03564454,0.04942979,-0.19576432,0.1446352
PCA6,0.026341595,-0.1109773,-0.38097882,0.0617496,-0.08451445,-0.18565476,0.02144765,-0.019344583,0.41564286,0.3903118,0.031729937,0.0592224,0.41419923,0.029413268,0.21486169,0.20265125,-0.10328286,-0.09580692,0.022032872,-0.026112098,0.055349976,-0.035298888,0.015856165,0.023742335,-0.08759957,0.006933161,-0.09966597,0.015171996,-0.10085083,-0.020452932,0.07980166,0.022087581,0.16837193,-0.14653797,0.108880594,0.09055676,-0.021490525,0.05021592,0.20181638,-0.0039427863,-0.14872183,-0.095492765
PCA7,-0.05121721,0.0025278414,0.4279883,0.07585442,-0.06288964,-0.065427065,-0.029443301,0.021044534,-0.25697404,0.41017786,3.3803284e-05,0.17688617,0.43050322,0.015470825,-0.34837633,-0.33612347,-0.039136153,-0.064302854,-0.031520586,-0.099015206,-0.080522574,0.050895117,-0.013787786,0.030743374,-0.06324814,0.03141207,-0.07241924,0.021405479,-0.074963704,-0.04035781,-0.07871858,0.010607021,0.016075017,-0.047113348,0.09607586,0.07780592,-0.040946156,0.16590291,-0.023757027,0.0017832121,0.1046054,-0.06337772
PCA8,0.00354996,0.014801733,0.115544915,-0.039662182,-0.031105453,0.108725786,0.030317394,0.040312182,0.071308255,-0.09016955,0.073006794,-0.07523841,-0.12466329,0.057937756,-0.08154142,-0.07776749,0.14291686,-0.043860734,0.031337336,0.0013025627,-0.020519212,0.032547556,0.02491615,-0.24207054,-0.016739292,0.13305344,-0.011968547,0.1501241,-0.014788941,-0.061413333,-0.19213647,0.0050307526,0.50262225,-0.6136715,-0.24358599,-0.02485847,-0.05786971,-0.07371292,0.20921299,0.026487604,0.060293302,-0.044928644
PCA9,-0.028839957,-0.021958977,0.13552567,-0.028699249,0.015588611,0.00043283403,0.027210742,0.045393884,0.20581298,-0.11474648,0.030649513,-0.059460733,-0.13788721,0.03330627,-0.13200103,-0.1385198,0.017937474,-0.002134353,0.023355544,-0.02028504,-0.059782192,0.037770033,0.025639057,0.3266529,-0.04275078,-0.48947534,-0.06393818,-0.15644261,-0.060885966,0.018386476,0.10682132,-0.041066345,-0.17931429,-0.14179331,0.16853131,0.081883654,0.01625549,-0.056148607,0.5842483,0.023129398,0.16212259,-0.0024895717
PCA10,-0.017144267,-0.0071811415,0.05917918,0.24731007,0.010284599,0.29703295,0.01783073,0.020511717,0.14235654,0.0153732,-0.06634465,-0.039260406,0.037820242,-0.021920731,-0.027827352,-0.018158406,0.17028761,0.02151984,0.016196162,0.0036926866,-0.03643641,0.024061441,0.022610098,0.1258962,0.021320425,0.6835697,0.03756179,-0.088828236,0.03030175,0.0007619234,0.15473498,0.040106267,-0.034616314,0.25849825,-0.0010678334,-0.058555838,0.0003374966,-0.039040305,0.41162747,0.011374347,0.14813346,0.021788318
