540215200005851,[WWV2004] J1921037+152052,M galactic plane,4.0
488204400007740,V1558 Aql,M galactic plane,4.0
639204400040206,IRAS 19201+2224,galactic plane ,1.0
639203400084555,NaN ,Class III and more evolved YSO candidates; galactic plane,3.0
487214200017099,IRAS 18449+0753,galactic plane ,1.0
590206400023116,OT Sge ,Mira; galactic plane ,4.0
640209100031078,ASASSN-V J201629.42+272221.6 ,"Mira (Heinze+, 2018); L: (Slow irregular variables, Watson+, 2006-2014); galactic plane",3.0
591212200140787,IRAS 19274+2033 (?) ,"LC is similar to IRAS 19131+1642 (YSO?), interesting LC, high amplitude; galactic plane",1.0
540203100036877,NaN ,galactic plane; light curve with 2 narrow mins ,1.0
640210400007973,IRAS 20085+2647 ,"mentioned as probably not variable in Heinze+, 2018; galactic plane",2.0
687214400032891,NaN ,Class III and more evolved YSO candidates; galactic plane,2.0
488205200050403,Bn V10,SR: (Semi-regular variables); galactic plane ,3.0
729204100022665,Mis V0123  ,SR: (Semi-regular variables); galactic plane ,4.0
487214400011018,NaN ,Class III and more evolved YSO candidates; galactic plane,3.0
831202400030085,AL Cep,M galactic plane,3.0
590209300129836,PT Sge,M galactic plane,4.0
831204400011257,NaN ,Class III and more evolved YSO candidates; galactic plane,3.0
540207100027928,NaN ,Class I/II YSO candidates (Marton et al. 2016); galactic plane,2.0
590209400030807,NaN ,"Mira (Heinze+, 2018); galactic plane",4.0
687216300101511,NaN ,galactic plane ,1.0
833216100007883,IRAS 23568+7220,Mira; galactic plane ,3.0
768206400007300,NaN ,Class I/II YSO candidates (Marton et al. 2016); galactic plane,2.0
590203100008813,IRAS 19131+1642 ,"Star (Simbad); Class I/II YSO candidates (Marton et al. 2016); interesting LC, high amplitude; galactic plane",2.0
802209100073154,NaN ,"Class III YSO candidates (Marton et al. 2016); galactic plane; ""irregular"" variables",4.0
640206200045535,NaN ,Class III and more evolved YSO candidates; galactic plane,3.0
640205300111929,Mis V0771,Var; galactic plane,3.0
639206200132351,NaN ,Class III and more evolved YSO candidates; galactic plane,3.0
687211200047860,IRAS 20168+3415,galactic plane ,1.0
488205200086634,IRAS 19180+0419,"Mira (Heinze+, 2018); galactic plane",4.0
590209100087670,NaN ,galactic plane ,1.0
540205400007798,ASASSN-V J193916.21+103815.6,SR (Semi-regular variables); galactic plane ,4.0
487212400025673,NaN ,galactic plane ,1.0
801203400030139,NaN ,Class III and more evolved YSO candidates; galactic plane,3.0
540214100114178,IRAS 19298+1450,Class I/II YSO candidates (Marton et al. 2016); galactic plane,2.0
488209100044132,Bn V78,LPV; galactic plane,4.0
540212200031063,V1316 Aql,Mira; galactic plane ,4.0
488214300149789,IRAS 19128+0631 ,"Mira (Heinze+, 2018); Class I/II YSO candidates (Marton et al. 2016); galactic plane",3.0
487206200055217,NaN ,galactic plane ,1.0
591208100032822,IRAS 19335+1811,LPV; galactic plane,4.0
539213100070797,NaN ,galactic plane ,1.0
729207100049333,V1642 Cyg,Mira; galactic plane ,4.0
487204100009170,ASASSN-V J183512.46+022414.2,M galactic plane,4.0
540211200034696,NaN ,galactic plane ,1.0
768201300015198,NaN ,"These are the variables that do not fit into any coherent periodic class, not even IRR. They would be classified as ""dubious"" except that they have ddcSTAT=1, meaning that detections on the difference images demonstrate their genuine variability. Their physical nature is unclear, but many of them do appear to exhibit highly significant stochastic variations with very little coherence on the timescales probed by ATLAS (Heinze+, 2018); galactic plane",2.0
687207100080001,NaN ,"Mira (Heinze+, 2018); galactic plane ",4.0
831207100044471,NaN ,galactic plane ,1.0
730202100013275,Mis V0245,M galactic plane,4.0
